time,id,RSSI,phase
16 48 43 9107,e2001d8712401320d4a0,-52,"174
"
16 48 43 9123,e2001d8712461320db93,-55,"174
"
16 48 43 9139,e2001d8712401320d4a0,-52,"174
"
16 48 43 9155,e2001d8712461320db93,-55,"174
"
16 48 43 9173,e2001d8712401320d4a0,-52,"171
"
16 48 43 9206,e2001d8712401320d4a0,-52,"174
"
16 48 43 9223,e2001d8712461320db93,-53,"171
"
16 48 43 9240,e2001d8712401320d4a0,-52,"174
"
16 48 43 9256,e2001d8712461320db93,-55,"174
"
16 48 43 9256,e2001d8712461320db93,-55,"174
"
16 48 43 9289,e2001d8712461320db93,-55,"174
"
16 48 43 9306,e2001d8712401320d4a0,-52,"171
"
16 48 43 9323,e2001d8712401320d4a0,-51,"171
"
16 48 43 9339,e2001d8712461320db93,-55,"171
"
16 48 43 9339,e2001d8712461320db93,-55,"171
"
16 48 43 9339,e2001d8712461320db93,-55,"171
"
16 48 43 9390,e2001d8712401320d4a0,-51,"171
"
16 48 43 9406,e2001d8712461320db93,-55,"174
"
16 48 43 9422,e2001d8712401320d4a0,-51,"174
"
16 48 43 9439,e2001d8712401320d4a0,-51,"174
"
16 48 43 9456,e2001d8712461320db93,-55,"174
"
16 48 43 9473,e2001d8712401320d4a0,-51,"171
"
16 48 43 9490,e2001d8712461320db93,-55,"174
"
16 48 43 9490,e2001d8712461320db93,-55,"174
"
16 48 43 9523,e2001d8712401320d4a0,-51,"174
"
16 48 43 9540,e2001d8712461320db93,-57,"174
"
16 48 43 9540,e2001d8712461320db93,-57,"174
"
16 48 43 9573,e2001d8712401320d4a0,-51,"174
"
16 48 43 9573,e2001d8712401320d4a0,-51,"174
"
16 48 43 9623,e2001d8712401320d4a0,-50,"168
"
16 48 43 9623,e2001d8712401320d4a0,-50,"168
"
16 48 43 9623,e2001d8712401320d4a0,-50,"168
"
16 48 43 9623,e2001d8712401320d4a0,-50,"168
"
16 48 43 9689,e2001d8712171320c120,-58,"174
"
16 48 43 9706,e2001d8712401320d4a0,-49,"174
"
16 48 43 9756,e2001d8712171320c120,-56,"171
"
16 48 43 9773,e2001d8712401320d4a0,-49,"171
"
16 48 43 9789,e2001d8712401320d4a0,-49,"171
"
