time,id,RSSI,phase
16 53 19 36753,e2001d8712171320c120,-55,"174
"
16 53 19 36753,e2001d8712171320c120,-55,"174
"
16 53 19 36803,e2001d8712171320c120,-56,"168
"
16 53 19 36820,e2001d8712401320d4a0,-47,"174
"
16 53 19 36837,e2001d8712401320d4a0,-47,"174
"
16 53 19 36853,e2001d8712171320c120,-55,"171
"
16 53 19 36870,e2001d8712171320c120,-56,"171
"
16 53 19 36886,e2001d8712401320d4a0,-46,"174
"
16 53 19 36903,e2001d8712401320d4a0,-47,"174
"
16 53 19 36920,e2001d8712171320c120,-55,"171
"
16 53 19 36937,e2001d8712401320d4a0,-47,"174
"
16 53 19 36953,e2001d8712171320c120,-56,"174
"
16 53 19 36953,e2001d8712171320c120,-56,"174
"
16 53 19 36987,e2001d8712401320d4a0,-47,"171
"
16 53 19 37004,e2001d8712171320c120,-55,"174
"
16 53 19 37037,e2001d8712171320c120,-55,"174
"
16 53 19 37054,e2001d8712401320d4a0,-47,"171
"
16 53 19 37070,e2001d8712401320d4a0,-47,"171
"
16 53 19 37087,e2001d8712171320c120,-55,"171
"
16 53 19 37120,e2001d8712171320c120,-55,"174
"
16 53 19 37153,e2001d8712401320d4a0,-47,"174
"
16 53 19 37186,e2001d8712171320c120,-57,"168
"
16 53 19 37203,e2001d8712401320d4a0,-49,"174
"
16 53 19 37220,e2001d8712171320c120,-58,"174
"
16 53 19 37220,e2001d8712171320c120,-58,"174
"
16 53 19 37254,e2001d8712171320c120,-59,"168
"
16 53 19 37270,e2001d8712401320d4a0,-49,"171
"
16 53 19 37287,e2001d8712171320c120,-58,"171
"
16 53 19 37304,e2001d8712401320d4a0,-49,"171
"
16 53 19 37320,e2001d8712401320d4a0,-49,"174
"
16 53 19 37336,e2001d8712171320c120,-58,"171
"
16 53 19 37336,e2001d8712171320c120,-58,"171
"
16 53 19 37369,e2001d8712401320d4a0,-49,"174
"
16 53 19 37387,e2001d8712171320c120,-58,"171
"
16 53 19 37387,e2001d8712171320c120,-58,"171
"
16 53 19 37437,e2001d8712401320d4a0,-49,"171
"
16 53 19 37453,e2001d8712171320c120,-57,"171
"
16 53 19 37470,e2001d8712401320d4a0,-49,"174
"
16 53 19 37487,e2001d8712461320db93,-56,"174
"
16 53 19 37504,e2001d8712401320d4a0,-47,"174
"
16 53 20 37520,e2001d8712171320c120,-58,"171
"
16 53 20 37537,e2001d8712401320d4a0,-47,"174
"
16 53 20 37554,e2001d8712461320db93,-56,"165
"
16 53 20 37570,e2001d8712171320c120,-57,"174
"
16 53 20 37570,e2001d8712171320c120,-57,"174
"
16 53 20 37604,e2001d8712401320d4a0,-47,"171
"
16 53 20 37604,e2001d8712401320d4a0,-47,"171
"
16 53 20 37637,e2001d8712171320c120,-58,"171
"
16 53 20 37653,e2001d8712461320db93,-55,"171
"
16 53 20 37670,e2001d8712401320d4a0,-47,"174
"
16 53 20 37687,e2001d8712461320db93,-55,"174
"
16 53 20 37687,e2001d8712461320db93,-55,"174
"
16 53 20 37720,e2001d8712401320d4a0,-47,"174
"
16 53 20 37737,e2001d8712171320c120,-57,"171
"
16 53 20 37770,e2001d8712171320c120,-57,"168
"
16 53 20 37787,e2001d8712461320db93,-57,"174
"
16 53 20 37787,e2001d8712461320db93,-57,"174
"
16 53 20 37787,e2001d8712461320db93,-57,"174
"
16 53 20 37854,e2001d8712401320d4a0,-47,"171
"
16 53 20 37870,e2001d8712171320c120,-57,"174
"
16 53 20 37920,e2001d8712171320c120,-57,"174
"
16 53 20 37937,e2001d8712461320db93,-57,"177
"
16 53 20 37937,e2001d8712461320db93,-57,"177
"
16 53 20 37970,e2001d8712401320d4a0,-46,"171
"
16 53 20 37987,e2001d8712171320c120,-57,"174
"
16 53 20 38004,e2001d8712461320db93,-57,"168
"
16 53 20 38004,e2001d8712461320db93,-57,"168
"
16 53 20 38053,e2001d8712171320c120,-57,"168
"
16 53 20 38070,e2001d8712401320d4a0,-46,"171
"
16 53 20 38087,e2001d8712461320db93,-58,"174
"
16 53 20 38120,e2001d8712401320d4a0,-49,"174
"
16 53 20 38137,e2001d8712171320c120,-56,"171
"
16 53 20 38153,e2001d8712461320db93,-58,"171
"
16 53 20 38153,e2001d8712461320db93,-58,"171
"
16 53 20 38187,e2001d8712401320d4a0,-49,"174
"
16 53 20 38203,e2001d8712171320c120,-56,"171
"
16 53 20 38253,e2001d8712461320db93,-58,"174
"
16 53 20 38270,e2001d8712171320c120,-56,"168
"
16 53 20 38287,e2001d8712401320d4a0,-49,"174
"
16 53 20 38303,e2001d8712171320c120,-57,"171
"
16 53 20 38320,e2001d8712461320db93,-58,"168
"
16 53 20 38320,e2001d8712461320db93,-58,"168
"
16 53 20 38371,e2001d8712171320c120,-57,"174
"
16 53 20 38387,e2001d8712401320d4a0,-49,"174
"
16 53 20 38404,e2001d8712461320db93,-58,"171
"
16 53 20 38420,e2001d8712401320d4a0,-49,"174
"
16 53 20 38437,e2001d8712171320c120,-56,"174
"
16 53 20 38437,e2001d8712171320c120,-56,"174
"
16 53 20 38470,e2001d8712461320db93,-57,"171
"
16 53 20 38487,e2001d8712401320d4a0,-49,"171
"
16 53 20 38504,e2001d8712461320db93,-57,"165
"
16 53 21 38520,e2001d8712171320c120,-57,"171
"
16 53 21 38537,e2001d8712401320d4a0,-49,"174
"
16 53 21 38553,e2001d8712461320db93,-58,"171
"
16 53 21 38553,e2001d8712461320db93,-58,"171
"
16 53 21 38587,e2001d8712171320c120,-57,"171
"
16 53 21 38603,e2001d8712401320d4a0,-49,"171
"
16 53 21 38620,e2001d8712461320db93,-58,"174
"
16 53 21 38636,e2001d8712401320d4a0,-49,"174
"
16 53 21 38653,e2001d8712171320c120,-56,"168
"
16 53 21 38653,e2001d8712171320c120,-56,"168
"
16 53 21 38653,e2001d8712171320c120,-56,"168
"
16 53 21 38653,e2001d8712171320c120,-56,"168
"
16 53 21 38653,e2001d8712171320c120,-56,"168
"
