time,id,RSSI,tag_id,phase,17:11:41.08,activity,
17:12:25.52,e2001d8712171320c120,-58,1,"165
",00:00:44.44,1,
17:12:25.55,e2001d8712461320db93,-51,3,"174
",00:00:44.47,1,
17:12:25.57,e2001d8712171320c120,-58,1,"177
",00:00:44.49,1,
17:12:25.58,e2001d8712171320c120,-58,1,"174
",00:00:44.50,1,
17:12:25.60,e2001d8712461320db93,-51,3,"171
",00:00:44.52,1,
17:12:25.62,e2001d8712461320db93,-51,3,"168
",00:00:44.54,1,
17:12:25.63,e2001d8712171320c120,-58,1,"171
",00:00:44.55,1,
17:12:25.67,e2001d8712171320c120,-58,1,"171
",00:00:44.59,1,
17:12:25.68,e2001d8712461320db93,-52,3,"174
",00:00:44.60,1,
17:12:25.72,e2001d8712171320c120,-58,1,"171
",00:00:44.64,1,
17:12:25.72,e2001d8712171320c120,-58,1,"171
",00:00:44.64,1,
17:12:25.75,e2001d8712461320db93,-53,3,"174
",00:00:44.67,1,
17:12:25.77,e2001d8712171320c120,-57,1,"174
",00:00:44.69,1,
17:12:25.78,e2001d8712171320c120,-58,1,"174
",00:00:44.70,1,
17:12:25.80,e2001d8712461320db93,-52,3,"174
",00:00:44.72,1,
17:12:25.82,e2001d8712171320c120,-58,1,"171
",00:00:44.74,1,
17:12:25.82,e2001d8712461320db93,-52,3,"174
",00:00:44.74,1,
17:12:25.82,e2001d8712461320db93,-52,3,"174
",00:00:44.74,1,
17:12:25.83,e2001d8712461320db93,-53,3,"174
",00:00:44.75,1,
17:12:25.85,e2001d8712461320db93,-52,3,"174
",00:00:44.77,1,
17:12:25.87,e2001d8712171320c120,-57,1,"174
",00:00:44.79,1,
17:12:25.88,e2001d8712171320c120,-58,1,"171
",00:00:44.80,1,
17:12:25.90,e2001d8712461320db93,-52,3,"171
",00:00:44.82,1,
17:12:25.90,e2001d8712461320db93,-52,3,"171
",00:00:44.82,1,
17:12:25.93,e2001d8712461320db93,-53,3,"174
",00:00:44.85,1,
17:12:25.95,e2001d8712171320c120,-58,1,"171
",00:00:44.87,1,
17:12:25.97,e2001d8712461320db93,-53,3,"174
",00:00:44.89,1,
17:12:25.98,e2001d8712171320c120,-58,1,"174
",00:00:44.90,1,
17:12:26.00,e2001d8712171320c120,-58,1,"168
",00:00:44.92,1,
17:12:26.12,e2001d8712461320db93,-52,3,"171
",00:00:45.04,1,
17:12:26.13,e2001d8712171320c120,-58,1,"171
",00:00:45.05,1,
17:12:26.15,e2001d8712461320db93,-52,3,"174
",00:00:45.07,1,
17:12:26.16,e2001d8712461320db93,-52,3,"174
",00:00:45.08,1,
17:12:26.17,e2001d8712171320c120,-58,1,"174
",00:00:45.08,1,
17:12:26.18,e2001d8712461320db93,-52,3,"168
",00:00:45.10,1,
17:12:26.20,e2001d8712171320c120,-58,1,"171
",00:00:45.12,1,
17:12:26.22,e2001d8712171320c120,-59,1,"171
",00:00:45.14,1,
17:12:26.23,e2001d8712461320db93,-52,3,"174
",00:00:45.15,1,
17:12:26.23,e2001d8712461320db93,-52,3,"174
",00:00:45.15,1,
17:12:26.27,e2001d8712461320db93,-52,3,"171
",00:00:45.18,1,
17:12:26.28,e2001d8712171320c120,-58,1,"174
",00:00:45.20,1,
17:12:26.33,e2001d8712171320c120,-59,1,"171
",00:00:45.25,1,
17:12:26.33,e2001d8712461320db93,-51,3,"171
",00:00:45.25,1,
17:12:26.35,e2001d8712461320db93,-51,3,"174
",00:00:45.27,1,
17:12:26.37,e2001d8712171320c120,-58,1,"171
",00:00:45.29,1,
17:12:26.38,e2001d8712171320c120,-59,1,"171
",00:00:45.30,1,
17:12:26.40,e2001d8712461320db93,-51,3,"174
",00:00:45.32,1,
17:12:26.43,e2001d8712461320db93,-51,3,"171
",00:00:45.35,1,
17:12:26.45,e2001d8712171320c120,-59,1,"171
",00:00:45.37,1,
17:12:26.47,e2001d8712171320c120,-59,1,"171
",00:00:45.39,1,
17:12:26.48,e2001d8712461320db93,-51,3,"168
",00:00:45.40,1,
17:12:26.49,e2001d8712461320db93,-52,3,"174
",00:00:45.41,1,
17:12:26.50,e2001d8712461320db93,-51,3,"174
",00:00:45.42,1,
17:12:26.52,e2001d8712171320c120,-59,1,"174
",00:00:45.44,1,
17:12:26.53,e2001d8712461320db93,-51,3,"174
",00:00:45.45,1,
17:12:26.55,e2001d8712171320c120,-59,1,"168
",00:00:45.47,1,
17:12:26.55,e2001d8712171320c120,-59,1,"168
",00:00:45.47,1,
17:12:26.58,e2001d8712461320db93,-51,3,"171
",00:00:45.50,1,
17:12:26.60,e2001d8712171320c120,-59,1,"171
",00:00:45.52,1,
17:12:26.62,e2001d8712171320c120,-59,1,"168
",00:00:45.54,1,
17:12:26.63,e2001d8712461320db93,-51,3,"171
",00:00:45.55,1,
17:12:26.65,e2001d8712461320db93,-52,3,"171
",00:00:45.57,1,
17:12:26.66,e2001d8712461320db93,-52,3,"171
",00:00:45.58,1,
17:12:26.67,e2001d8712171320c120,-58,1,"168
",00:00:45.58,1,
17:12:26.68,e2001d8712461320db93,-52,3,"171
",00:00:45.60,1,
17:12:26.73,e2001d8712461320db93,-52,3,"174
",00:00:45.65,1,
17:12:26.75,e2001d8712461320db93,-52,3,"174
",00:00:45.67,1,
17:12:26.77,e2001d8712171320c120,-58,1,"174
",00:00:45.69,1,
17:12:26.78,e2001d8712171320c120,-58,1,"174
",00:00:45.70,1,
17:12:26.80,e2001d8712461320db93,-52,3,"168
",00:00:45.72,1,
17:12:26.82,e2001d8712171320c120,-58,1,"174
",00:00:45.74,1,
17:12:26.83,e2001d8712171320c120,-58,1,"171
",00:00:45.75,1,
17:12:26.83,e2001d8712461320db93,-52,3,"174
",00:00:45.75,1,
17:12:26.83,e2001d8712461320db93,-52,3,"174
",00:00:45.75,1,
17:12:26.87,e2001d8712171320c120,-58,1,"174
",00:00:45.79,1,
17:12:26.88,e2001d8712461320db93,-52,3,"174
",00:00:45.80,1,
17:12:26.90,e2001d8712171320c120,-58,1,"171
",00:00:45.82,1,
17:12:26.92,e2001d8712461320db93,-52,3,"174
",00:00:45.84,1,
17:12:26.95,e2001d8712171320c120,-58,1,"174
",00:00:45.87,1,
17:12:26.97,e2001d8712461320db93,-52,3,"171
",00:00:45.89,1,
17:12:26.98,e2001d8712461320db93,-52,3,"174
",00:00:45.90,1,
17:12:27.00,e2001d8712171320c120,-58,1,"174
",00:00:45.92,1,
17:12:27.10,e2001d8712171320c120,-58,1,"174
",00:00:46.02,1,
17:12:27.12,e2001d8712461320db93,-51,3,"171
",00:00:46.04,1,
17:12:27.13,e2001d8712461320db93,-51,3,"171
",00:00:46.05,1,
17:12:27.15,e2001d8712171320c120,-58,1,"171
",00:00:46.07,1,
17:12:27.17,e2001d8712461320db93,-51,3,"171
",00:00:46.09,1,
17:12:27.17,e2001d8712461320db93,-51,3,"168
",00:00:46.09,1,
17:12:27.18,e2001d8712171320c120,-58,1,"174
",00:00:46.10,1,
17:12:27.20,e2001d8712461320db93,-51,3,"174
",00:00:46.12,1,
17:12:27.22,e2001d8712171320c120,-58,1,"171
",00:00:46.14,1,
17:12:27.22,e2001d8712171320c120,-58,1,"171
",00:00:46.14,1,
17:12:27.25,e2001d8712171320c120,-58,1,"171
",00:00:46.17,1,
17:12:27.27,e2001d8712461320db93,-51,3,"174
",00:00:46.19,1,
17:12:27.32,e2001d8712461320db93,-53,3,"174
",00:00:46.24,1,
17:12:27.33,e2001d8712171320c120,-58,1,"171
",00:00:46.25,1,
17:12:27.33,e2001d8712171320c120,-57,1,"174
",00:00:46.25,1,
17:12:27.33,e2001d8712171320c120,-57,1,"174
",00:00:46.25,1,
17:12:27.38,e2001d8712461320db93,-52,3,"171
",00:00:46.30,1,
17:12:27.40,e2001d8712171320c120,-57,1,"174
",00:00:46.32,1,
17:12:27.42,e2001d8712461320db93,-53,3,"171
",00:00:46.34,1,
17:12:27.43,e2001d8712171320c120,-58,1,"174
",00:00:46.35,1,
17:12:27.45,e2001d8712461320db93,-52,3,"174
",00:00:46.37,1,
17:12:27.47,e2001d8712171320c120,-58,1,"174
",00:00:46.39,1,
17:12:27.48,e2001d8712171320c120,-58,1,"168
",00:00:46.40,1,
17:12:27.50,e2001d8712461320db93,-53,3,"171
",00:00:46.42,1,
17:12:27.52,e2001d8712171320c120,-57,1,"174
",00:00:46.44,1,
17:12:27.53,e2001d8712461320db93,-52,3,"171
",00:00:46.45,1,
17:12:27.53,e2001d8712461320db93,-52,3,"171
",00:00:46.45,1,
17:12:27.57,e2001d8712461320db93,-53,3,"174
",00:00:46.49,1,
17:12:27.58,e2001d8712171320c120,-58,1,"174
",00:00:46.50,1,
17:12:27.60,e2001d8712461320db93,-53,3,"171
",00:00:46.52,1,
17:12:27.62,e2001d8712171320c120,-58,1,"171
",00:00:46.54,1,
