,time,activity,mean,variance
0,17:51.5,1,-57,1
1,17:51.7,1,-54,2
2,17:52.0,1,-55,0
3,17:52.2,1,-55,0
4,17:52.3,1,-55,0
5,17:52.4,1,-55,0
6,17:52.5,1,-53,1
7,17:52.6,1,-53,1
8,17:52.7,1,-53,0
9,17:52.9,1,-53,0
10,17:53.1,1,-53,1
11,17:53.3,1,-55,0
12,17:53.4,1,-54,1
13,17:53.5,1,-54,1
14,17:53.6,1,-54,1
15,17:53.7,1,-54,1
16,17:53.9,1,-55,0
17,17:54.0,1,-55,0
18,17:54.2,1,-53,1
19,17:54.3,1,-53,1
20,17:54.4,1,-53,1
21,17:54.6,1,-53,1
22,17:54.7,1,-53,1
23,17:54.8,1,-54,1
24,17:54.9,1,-55,0
25,17:55.0,1,-54,1
26,17:55.2,1,-54,1
27,17:55.3,1,-55,0
28,17:55.4,1,-54,1
29,17:55.5,1,-54,1
30,17:55.6,1,-54,1
31,17:55.7,1,-54,1
32,17:55.8,1,-55,0
33,17:55.9,1,-54,1
34,17:56.0,1,-53,1
35,17:56.2,1,-55,0
36,17:56.3,1,-54,1
37,17:56.4,1,-55,0
38,17:56.5,1,-55,0
39,17:56.7,1,-54,1
40,17:56.9,1,-55,0
41,17:57.0,1,-55,0
42,17:57.3,1,-55,0
43,17:57.4,1,-54,1
44,17:57.6,1,-55,0
45,17:57.6,1,-55,0
46,17:57.8,1,-54,1
47,17:58.0,1,-53,0
48,17:58.2,1,-55,0
49,17:58.3,1,-54,1
50,17:58.4,1,-55,0
51,17:58.5,1,-53,1
52,17:58.6,1,-53,1
53,17:58.8,1,-53,1
54,17:58.9,1,-53,0
55,17:59.1,1,-53,0
56,17:59.2,1,-54,3
57,17:59.3,1,-54,1
58,17:59.5,1,-53,1
59,17:59.6,1,-55,0
60,17:59.7,1,-55,0
61,17:59.8,1,-53,1
62,17:59.9,1,-53,1
63,18:00.2,1,-53,1
64,18:00.3,1,-54,1
65,18:00.4,1,-55,0
66,18:00.4,1,-55,0
67,18:00.6,1,-54,1
68,18:00.7,1,-53,1
69,18:00.8,1,-53,0
70,18:00.9,1,-53,0
71,18:01.0,1,-53,0
72,18:01.2,1,-53,1
