time,id,tag_id,RSSI,phase,21:17:22.63,activity,,
21:17:53.23,e2001d871271320b9f,4,-55,"171
",00:00:30.60,1,,
21:17:53.25,e2001d8712171320c120,1,-56,"174
",00:00:30.62,1,,
21:17:53.27,e2001d871271320b9f,4,-55,"171
",00:00:30.64,1,,
21:17:53.28,e2001d8712171320c120,1,-55,"171
",00:00:30.65,1,,
21:17:53.30,e2001d871271320b9f,4,-55,"168
",00:00:30.67,1,,
21:17:53.33,e2001d8712171320c120,1,-56,"174
",00:00:30.70,1,,
21:17:53.33,e2001d8712171320c120,1,-55,"171
",00:00:30.70,1,,
21:17:53.35,e2001d871271320b9f,4,-55,"171
",00:00:30.72,1,,
21:17:53.37,e2001d8712171320c120,1,-55,"174
",00:00:30.74,1,,
21:17:53.38,e2001d871271320b9f,4,-55,"174
",00:00:30.75,1,,
21:17:53.40,e2001d8712171320c120,1,-55,"171
",00:00:30.77,1,,
21:17:53.42,e2001d871271320b9f,4,-55,"174
",00:00:30.79,1,,
21:17:53.43,e2001d8712171320c120,1,-56,"165
",00:00:30.80,1,,
21:17:53.45,e2001d871271320b9f,4,-53,"171
",00:00:30.82,1,,
21:17:53.47,e2001d8712171320c120,1,-56,"171
",00:00:30.84,1,,
21:17:53.48,e2001d871271320b9f,4,-55,"171
",00:00:30.85,1,,
21:17:53.48,e2001d871271320b9f,4,-55,"171
",00:00:30.85,1,,
21:17:53.50,e2001d871271320b9f,4,-53,"171
",00:00:30.87,1,,
21:17:53.52,e2001d8712171320c120,1,-55,"174
",00:00:30.89,1,,
21:17:53.52,e2001d8712171320c120,1,-55,"174
",00:00:30.89,1,,
21:17:53.55,e2001d871271320b9f,4,-55,"171
",00:00:30.92,1,,
21:17:53.60,e2001d8712171320c120,1,-56,"177
",00:00:30.97,1,,
21:17:53.62,e2001d871271320b9f,4,-55,"174
",00:00:30.99,1,,
21:17:53.63,e2001d8712171320c120,1,-55,"168
",00:00:31.00,1,,
21:17:53.65,e2001d871271320b9f,4,-53,"174
",00:00:31.02,1,,
21:17:53.67,e2001d8712171320c120,1,-55,"174
",00:00:31.04,1,,
21:17:53.67,e2001d8712171320c120,1,-56,"174
",00:00:31.04,1,,
21:17:53.68,e2001d871271320b9f,4,-55,"174
",00:00:31.05,1,,
21:17:53.70,e2001d8712171320c120,1,-55,"174
",00:00:31.07,1,,
21:17:53.72,e2001d871271320b9f,4,-53,"174
",00:00:31.09,1,,
21:17:53.72,e2001d871271320b9f,4,-53,"174
",00:00:31.09,1,,
21:17:53.75,e2001d8712171320c120,1,-56,"171
",00:00:31.12,1,,
21:17:53.77,e2001d871271320b9f,4,-55,"174
",00:00:31.14,1,,
21:17:53.83,e2001d871271320b9f,4,-55,"168
",00:00:31.20,1,,
21:17:53.83,e2001d871271320b9f,4,-55,"168
",00:00:31.20,1,,
21:17:53.83,e2001d871271320b9f,4,-55,"168
",00:00:31.20,1,,
21:17:53.83,e2001d8712171320c120,1,-55,"171
",00:00:31.20,1,,
21:17:53.85,e2001d871271320b9f,4,-55,"168
",00:00:31.22,1,,
21:17:53.87,e2001d8712171320c120,1,-55,"174
",00:00:31.24,1,,
21:17:53.88,e2001d871271320b9f,4,-55,"171
",00:00:31.25,1,,
21:17:53.90,e2001d8712171320c120,1,-55,"168
",00:00:31.27,1,,
21:17:53.92,e2001d871271320b9f,4,-55,"171
",00:00:31.29,1,,
21:17:53.93,e2001d8712171320c120,1,-56,"171
",00:00:31.30,1,,
21:17:53.95,e2001d871271320b9f,4,-55,"171
",00:00:31.32,1,,
21:17:53.97,e2001d8712171320c120,1,-55,"171
",00:00:31.34,1,,
21:17:53.97,e2001d8712171320c120,1,-55,"171
",00:00:31.34,1,,
21:17:54.00,e2001d8712171320c120,1,-56,"174
",00:00:31.37,1,,
21:17:54.12,e2001d871271320b9f,4,-55,"171
",00:00:31.49,1,,
21:17:54.15,e2001d8712171320c120,1,-55,"174
",00:00:31.52,1,,
21:17:54.15,e2001d871271320b9f,4,-55,"171
",00:00:31.52,1,,
21:17:54.17,e2001d871271320b9f,4,-53,"168
",00:00:31.54,1,,
21:17:54.20,e2001d8712171320c120,1,-56,"177
",00:00:31.57,1,,
21:17:54.21,e2001d871271320b9f,4,-55,"171
",00:00:31.58,1,,
21:17:54.23,e2001d8712171320c120,1,-56,"171
",00:00:31.60,1,,
21:17:54.25,e2001d8712171320c120,1,-55,"171
",00:00:31.62,1,,
21:17:54.27,e2001d871271320b9f,4,-53,"177
",00:00:31.64,1,,
21:17:54.30,e2001d8712171320c120,1,-56,"174
",00:00:31.67,1,,
21:17:54.32,e2001d871271320b9f,4,-53,"174
",00:00:31.69,1,,
21:17:54.32,e2001d871271320b9f,4,-55,"168
",00:00:31.69,1,,
21:17:54.33,e2001d871271320b9f,4,-55,"174
",00:00:31.70,1,,
21:17:54.35,e2001d8712171320c120,1,-56,"168
",00:00:31.72,1,,
21:17:54.35,e2001d8712171320c120,1,-56,"168
",00:00:31.72,1,,
21:17:54.38,e2001d871271320b9f,4,-53,"174
",00:00:31.75,1,,
21:17:54.40,e2001d8712171320c120,1,-56,"174
",00:00:31.77,1,,
21:17:54.43,e2001d871271320b9f,4,-55,"171
",00:00:31.80,1,,
21:17:54.45,e2001d8712171320c120,1,-55,"171
",00:00:31.82,1,,
21:17:54.47,e2001d8712171320c120,1,-56,"168
",00:00:31.83,1,,
21:17:54.48,e2001d871271320b9f,4,-53,"174
",00:00:31.85,1,,
21:17:54.49,e2001d8712171320c120,1,-56,"174
",00:00:31.86,1,,
21:17:54.49,e2001d8712171320c120,1,-56,"174
",00:00:31.86,1,,
21:17:54.52,e2001d8712171320c120,1,-56,"171
",00:00:31.89,1,,
21:17:54.53,e2001d871271320b9f,4,-53,"171
",00:00:31.90,1,,
21:17:54.60,e2001d871271320b9f,4,-53,"171
",00:00:31.97,1,,
21:17:54.62,e2001d8712171320c120,1,-57,"174
",00:00:31.99,1,,
21:17:54.63,e2001d871271320b9f,4,-53,"171
",00:00:32.00,1,,
