,time,activity,mean,variance
0,17:51.5,1,-54,3
1,17:51.7,1,-54,3
2,18:16.8,2,-55,0
3,18:16.9,2,-55,0
4,18:17.1,2,-54,1
5,18:17.2,2,-53,0
6,18:17.3,2,-52,0
7,18:17.5,2,-55,0
8,18:17.6,2,-55,0
9,18:17.7,2,-53,1
10,18:17.8,2,-52,0
11,18:17.9,2,-51,0
12,18:18.2,2,-51,0
13,18:18.3,2,-51,0
14,18:18.3,2,-51,0
15,18:18.4,2,-52,0
16,18:18.6,2,-53,0
17,18:18.8,2,-53,1
18,18:18.9,2,-54,9
19,18:18.9,2,-57,0
20,18:19.1,2,-57,0
21,18:19.2,2,-57,0
22,18:19.3,2,-56,1
23,18:19.4,2,-54,1
24,18:19.5,2,-52,0
25,18:19.7,2,-53,8
26,18:19.7,2,-51,0
27,18:19.8,2,-51,0
28,18:19.9,2,-52,0
29,18:20.1,2,-54,1
30,18:20.3,2,-55,1
31,18:20.4,2,-57,0
32,18:20.5,2,-56,2
33,18:20.6,2,-57,0
34,18:20.8,2,-57,0
35,18:20.9,2,-57,0
36,18:21.0,2,-57,1
37,18:21.1,2,-53,1
38,18:21.3,2,-55,4
39,18:21.4,2,-54,1
40,18:21.5,2,-53,5
41,18:21.5,2,-51,0
42,18:21.6,2,-52,0
43,18:21.7,2,-52,0
44,18:21.8,2,-52,0
45,18:22.0,2,-56,2
46,18:22.2,2,-57,3
47,18:22.5,2,-55,0
48,18:22.6,2,-52,0
49,18:22.7,2,-51,0
50,18:22.8,2,-52,5
51,18:22.9,2,-52,4
52,18:23.1,2,-52,0
53,18:23.2,2,-53,0
54,18:23.3,2,-54,1
55,18:23.4,2,-57,2
56,18:23.9,2,-58,0
57,18:24.3,2,-55,0
58,18:24.4,2,-53,1
59,18:24.5,2,-53,1
60,18:24.6,2,-53,3
61,18:24.8,2,-51,0
62,18:24.9,2,-51,0
63,18:25.0,2,-51,0
64,18:25.2,2,-52,0
65,18:25.3,2,-53,5
66,18:25.4,2,-57,1
67,18:25.7,2,-54,7
68,18:25.9,2,-52,0
69,18:26.1,2,-52,0
70,18:26.2,2,-53,1
71,18:26.4,2,-53,2
72,18:26.5,2,-52,0
73,18:26.6,2,-55,0
74,18:26.8,2,-56,14
75,18:27.5,2,-58,0
76,18:27.6,2,-55,0
77,18:27.7,2,-55,0
78,18:27.8,2,-55,0
79,18:28.0,2,-53,0
80,18:28.1,2,-51,0
81,18:28.2,2,-52,0
82,18:28.3,2,-52,0
83,18:28.4,2,-52,0
84,18:28.5,2,-52,0
85,18:28.7,2,-54,6
86,18:28.8,2,-58,0
87,18:29.1,2,-53,2
88,18:29.2,2,-52,0
89,18:29.3,2,-52,0
90,18:29.5,2,-52,8
91,18:29.5,2,-52,0
92,18:29.7,2,-52,0
93,18:29.8,2,-53,1
94,18:29.9,2,-53,1
95,18:30.0,2,-56,2
96,18:30.8,2,-56,2
97,18:30.9,2,-55,0
98,18:31.1,2,-55,0
99,18:31.2,2,-54,1
100,18:31.3,2,-51,0
101,18:31.4,2,-51,0
102,18:31.5,2,-52,5
103,18:31.6,2,-52,0
104,18:31.8,2,-56,2
105,18:32.0,2,-56,2
106,18:32.3,2,-51,0
107,18:32.4,2,-51,0
108,18:32.6,2,-51,0
109,18:32.7,2,-54,10
110,18:32.8,2,-53,0
111,18:33.0,2,-56,2
112,18:33.8,2,-57,0
113,18:33.9,2,-55,1
114,18:34.1,2,-55,0
115,18:34.3,2,-55,0
116,18:34.3,2,-54,1
117,18:34.4,2,-52,0
118,18:34.6,2,-50,0
119,18:34.7,2,-51,0
120,18:34.8,2,-53,3
121,18:35.0,2,-57,3
122,18:35.3,2,-54,6
123,18:35.5,2,-51,0
124,18:35.6,2,-51,0
125,18:35.7,2,-53,16
126,18:35.8,2,-52,0
127,18:35.9,2,-53,1
128,18:36.2,2,-56,7
129,18:36.5,2,-56,1
130,18:37.2,2,-55,0
131,18:37.3,2,-55,0
132,18:37.4,2,-53,1
133,18:37.6,2,-52,0
134,18:37.7,2,-51,0
135,18:37.9,2,-51,0
136,18:38.1,2,-53,6
137,18:38.3,2,-56,0
138,18:38.4,2,-54,3
139,18:38.6,2,-51,0
140,18:38.8,2,-53,1
141,18:39.0,2,-55,4
142,18:39.2,2,-56,3
143,18:40.0,2,-58,1
144,18:40.1,2,-55,0
145,18:40.3,2,-55,0
146,18:40.4,2,-55,0
147,18:40.6,2,-52,0
148,18:40.7,2,-51,0
149,18:40.9,2,-51,0
150,18:41.1,2,-53,2
151,18:41.2,2,-55,0
152,18:41.4,2,-57,0
153,18:41.5,2,-55,0
154,18:41.6,2,-53,3
155,18:41.7,2,-51,0
156,18:41.8,2,-51,0
157,18:41.9,2,-51,1
158,18:42.2,2,-54,1
159,18:42.3,2,-55,0
160,18:42.4,2,-55,10
161,18:42.8,2,-55,10
162,18:43.4,2,-56,1
163,18:43.5,2,-54,1
164,18:43.6,2,-52,0
