,time,activity,mean,variance
212,25:36.4,6,-56,0
213,25:36.5,6,-57,0
214,25:36.6,6,-57,0
215,25:36.7,6,-55,3
216,25:36.8,6,-56,0
217,25:36.9,6,-54,5
218,25:37.1,6,-53,0
219,25:37.3,6,-53,1
220,25:37.3,6,-55,0
221,25:37.5,6,-53,1
222,25:37.5,6,-54,1
223,25:37.7,6,-53,0
224,25:37.8,6,-53,0
225,25:37.8,6,-53,0
226,25:38.0,6,-55,0
227,25:38.1,6,-55,0
228,25:38.3,6,-55,1
229,25:38.4,6,-56,1
230,25:38.5,6,-55,0
231,25:38.6,6,-56,0
232,25:38.6,6,-55,0
233,25:38.8,6,-55,0
234,25:38.9,6,-53,3
235,25:39.1,6,-52,0
236,25:39.2,6,-52,0
237,25:39.3,6,-52,0
238,25:39.4,6,-52,0
239,25:39.5,6,-52,0
240,25:39.6,6,-53,3
241,25:39.7,6,-55,0
242,25:39.8,6,-55,0
243,25:39.9,6,-52,0
244,25:40.1,6,-52,0
245,25:40.2,6,-52,0
246,25:40.4,6,-52,0
247,25:40.5,6,-52,0
248,25:40.6,6,-53,1
249,25:40.7,6,-54,1
250,25:40.8,6,-54,3
251,25:40.9,6,-54,1
252,25:41.1,6,-52,0
253,25:41.2,6,-53,2
254,25:41.4,6,-53,1
255,25:41.4,6,-54,1
256,25:41.6,6,-53,0
257,25:41.7,6,-56,2
258,25:41.8,6,-57,0
259,25:42.0,6,-53,0
260,25:42.2,6,-53,0
261,25:42.3,6,-55,3
262,25:42.4,6,-56,1
263,25:42.5,6,-56,0
264,25:42.6,6,-56,0
265,25:42.7,6,-57,0
266,25:42.8,6,-54,5
267,25:43.0,6,-52,0
268,25:43.2,6,-52,0
269,25:43.2,6,-54,2
270,25:43.3,6,-54,12
271,25:44.2,6,-57,0
