time,id,tag_id,RSSI,phase,17:22.6,activity,,
17:51.6,e2001d8712171320c120,1,-56,"171
",00:29.0,1,,
17:51.7,e2001d8712171320c120,1,-56,"171
",00:29.0,1,,
17:51.8,e2001d8712171320c120,1,-55,"171
",00:29.1,1,,
17:51.8,e2001d8712171320c120,1,-55,"174
",00:29.1,1,,
17:52.0,e2001d8712171320c120,1,-55,"174
",00:29.3,1,,
17:52.0,e2001d8712171320c120,1,-55,"171
",00:29.3,1,,
17:52.1,e2001d8712171320c120,1,-56,"174
",00:29.5,1,,
17:52.1,e2001d8712171320c120,1,-56,"168
",00:29.5,1,,
17:52.2,e2001d8712171320c120,1,-55,"168
",00:29.6,1,,
17:52.2,e2001d8712171320c120,1,-57,"171
",00:29.6,1,,
17:52.3,e2001d8712171320c120,1,-55,"171
",00:29.7,1,,
17:52.3,e2001d8712171320c120,1,-56,"174
",00:29.7,1,,
17:52.4,e2001d8712171320c120,1,-55,"174
",00:29.7,1,,
17:52.4,e2001d8712171320c120,1,-55,"174
",00:29.8,1,,
17:52.4,e2001d8712171320c120,1,-55,"174
",00:29.8,1,,
17:52.5,e2001d8712171320c120,1,-55,"171
",00:29.9,1,,
17:52.5,e2001d8712171320c120,1,-55,"174
",00:29.9,1,,
17:52.6,e2001d8712171320c120,1,-55,"171
",00:29.9,1,,
17:52.6,e2001d8712171320c120,1,-56,"174
",00:30.0,1,,
17:52.6,e2001d8712171320c120,1,-55,"171
",00:30.0,1,,
17:52.7,e2001d8712171320c120,1,-56,"168
",00:30.1,1,,
17:52.7,e2001d8712171320c120,1,-56,"171
",00:30.1,1,,
17:52.7,e2001d8712171320c120,1,-56,"174
",00:30.1,1,,
17:52.8,e2001d8712171320c120,1,-56,"174
",00:30.2,1,,
17:52.8,e2001d8712171320c120,1,-57,"168
",00:30.2,1,,
17:52.9,e2001d8712171320c120,1,-56,"174
",00:30.2,1,,
17:52.9,e2001d8712171320c120,1,-56,"168
",00:30.3,1,,
17:52.9,e2001d8712171320c120,1,-55,"171
",00:30.3,1,,
17:53.0,e2001d8712171320c120,1,-55,"171
",00:30.3,1,,
17:53.0,e2001d8712171320c120,1,-55,"174
",00:30.4,1,,
17:53.2,e2001d8712171320c120,1,-55,"171
",00:30.5,1,,
17:53.2,e2001d8712171320c120,1,-55,"171
",00:30.6,1,,
17:53.2,e2001d8712171320c120,1,-56,"171
",00:30.6,1,,
17:53.2,e2001d8712171320c120,1,-56,"174
",00:30.6,1,,
17:53.3,e2001d8712171320c120,1,-55,"171
",00:30.6,1,,
17:53.3,e2001d8712171320c120,1,-56,"174
",00:30.7,1,,
17:53.4,e2001d8712171320c120,1,-55,"174
",00:30.7,1,,
17:53.4,e2001d8712171320c120,1,-55,"171
",00:30.8,1,,
17:53.4,e2001d8712171320c120,1,-56,"165
",00:30.8,1,,
17:53.5,e2001d8712171320c120,1,-56,"171
",00:30.8,1,,
17:53.5,e2001d8712171320c120,1,-55,"174
",00:30.9,1,,
17:53.6,e2001d8712171320c120,1,-56,"177
",00:31.0,1,,
17:53.6,e2001d8712171320c120,1,-55,"168
",00:31.0,1,,
17:53.7,e2001d8712171320c120,1,-55,"174
",00:31.0,1,,
17:53.7,e2001d8712171320c120,1,-55,"174
",00:31.1,1,,
17:53.7,e2001d8712171320c120,1,-56,"171
",00:31.1,1,,
17:53.8,e2001d8712171320c120,1,-55,"171
",00:31.2,1,,
17:53.9,e2001d8712171320c120,1,-55,"174
",00:31.2,1,,
17:53.9,e2001d8712171320c120,1,-55,"168
",00:31.3,1,,
17:53.9,e2001d8712171320c120,1,-56,"171
",00:31.3,1,,
17:54.0,e2001d8712171320c120,1,-55,"171
",00:31.3,1,,
17:54.0,e2001d8712171320c120,1,-56,"174
",00:31.4,1,,
17:54.2,e2001d8712171320c120,1,-55,"174
",00:31.5,1,,
17:54.2,e2001d8712171320c120,1,-56,"177
",00:31.6,1,,
17:54.2,e2001d8712171320c120,1,-56,"171
",00:31.6,1,,
17:54.3,e2001d8712171320c120,1,-55,"171
",00:31.6,1,,
17:54.3,e2001d8712171320c120,1,-56,"174
",00:31.7,1,,
17:54.3,e2001d8712171320c120,1,-56,"168
",00:31.7,1,,
17:54.4,e2001d8712171320c120,1,-56,"174
",00:31.8,1,,
17:54.5,e2001d8712171320c120,1,-55,"171
",00:31.8,1,,
17:54.5,e2001d8712171320c120,1,-56,"168
",00:31.8,1,,
17:54.5,e2001d8712171320c120,1,-56,"174
",00:31.9,1,,
17:54.5,e2001d8712171320c120,1,-56,"171
",00:31.9,1,,
17:54.6,e2001d8712171320c120,1,-57,"174
",00:32.0,1,,
17:54.7,e2001d8712171320c120,1,-55,"171
",00:32.0,1,,
17:54.7,e2001d8712171320c120,1,-56,"177
",00:32.0,1,,
17:54.7,e2001d8712171320c120,1,-56,"171
",00:32.1,1,,
17:54.7,e2001d8712171320c120,1,-55,"171
",00:32.1,1,,
17:54.8,e2001d8712171320c120,1,-56,"171
",00:32.1,1,,
17:54.8,e2001d8712171320c120,1,-55,"171
",00:32.2,1,,
17:54.9,e2001d8712171320c120,1,-55,"168
",00:32.2,1,,
17:54.9,e2001d8712171320c120,1,-56,"168
",00:32.3,1,,
17:54.9,e2001d8712171320c120,1,-57,"171
",00:32.3,1,,
17:55.0,e2001d8712171320c120,1,-55,"174
",00:32.3,1,,
17:55.0,e2001d8712171320c120,1,-57,"171
",00:32.4,1,,
