,time,activity,mean,variance
0,17:51.6,1,-55,0
1,17:51.8,1,-55,0
2,17:52.1,1,-55,0
3,17:52.2,1,-56,1
4,17:52.4,1,-55,0
5,17:52.5,1,-55,0
6,17:52.6,1,-55,0
7,17:52.7,1,-56,0
8,17:52.8,1,-56,0
9,17:52.9,1,-55,0
10,17:53.2,1,-55,0
11,17:53.2,1,-55,0
12,17:53.4,1,-55,0
13,17:53.5,1,-55,0
14,17:53.6,1,-55,0
15,17:53.7,1,-55,0
16,17:53.9,1,-55,0
17,17:54.0,1,-55,0
18,17:54.2,1,-55,0
19,17:54.3,1,-55,0
20,17:54.5,1,-56,0
21,17:54.6,1,-56,1
22,17:54.7,1,-55,0
23,17:54.8,1,-55,0
24,17:54.9,1,-56,1
25,17:55.1,1,-55,0
26,17:55.3,1,-55,0
27,17:55.3,1,-55,0
28,17:55.4,1,-55,0
29,17:55.6,1,-55,0
30,17:55.7,1,-55,0
31,17:55.9,1,-55,0
32,17:56.0,1,-55,0
33,17:56.2,1,-55,0
34,17:56.4,1,-55,0
35,17:56.5,1,-55,0
36,17:56.6,1,-55,1
37,17:56.7,1,-55,0
38,17:56.8,1,-55,0
39,17:56.9,1,-56,0
40,17:57.1,1,-55,0
41,17:57.4,1,-55,1
42,17:57.5,1,-55,0
43,17:57.7,1,-55,0
44,17:57.8,1,-56,1
45,17:57.9,1,-55,0
46,17:58.1,1,-55,1
47,17:58.2,1,-55,0
48,17:58.3,1,-55,0
49,17:58.4,1,-55,0
50,17:58.5,1,-55,0
51,17:58.7,1,-56,0
52,17:58.8,1,-56,0
53,17:58.9,1,-56,0
54,17:59.0,1,-56,1
55,17:59.3,1,-55,0
56,17:59.4,1,-55,0
57,17:59.5,1,-55,0
58,17:59.6,1,-55,0
59,17:59.7,1,-56,1
60,17:59.9,1,-55,0
61,18:00.0,1,-55,0
62,18:00.2,1,-55,0
63,18:00.3,1,-55,0
64,18:00.4,1,-55,0
65,18:00.5,1,-55,0
66,18:00.7,1,-55,0
67,18:00.8,1,-55,0
68,18:00.9,1,-55,0
69,18:01.0,1,-56,0
70,18:01.2,1,-55,0
71,18:01.4,1,-55,0
72,18:01.5,1,-55,0
73,18:01.6,1,-55,0
74,18:01.7,1,-55,0
75,18:01.8,1,-55,0
76,18:01.9,1,-55,0
77,18:02.0,1,-55,0
78,18:02.2,1,-55,0
79,18:02.3,1,-55,0
80,18:02.4,1,-55,0
81,18:02.5,1,-55,0
82,18:02.6,1,-55,0
83,18:02.7,1,-55,0
84,18:02.8,1,-55,0
85,18:02.9,1,-55,0
86,18:03.2,1,-55,0
87,18:03.3,1,-55,0
88,18:03.4,1,-55,1
89,18:03.6,1,-56,0
90,18:03.7,1,-56,1
91,18:03.8,1,-55,1
92,18:03.9,1,-55,0
93,18:04.1,1,-55,0
94,18:04.2,1,-55,0
95,18:04.3,1,-55,0
96,18:04.4,1,-55,0
97,18:04.5,1,-55,0
98,18:04.6,1,-55,0
99,18:04.8,1,-55,0
100,18:04.9,1,-55,0
101,18:05.1,1,-55,0
102,18:05.2,1,-55,0
103,18:05.3,1,-56,0
104,18:05.4,1,-55,0
105,18:05.5,1,-55,0
106,18:05.6,1,-55,0
107,18:05.8,1,-55,0
108,18:05.8,1,-55,0
109,18:06.0,1,-55,0
110,18:06.2,1,-55,0
111,18:06.3,1,-55,0
112,18:06.4,1,-56,0
113,18:06.5,1,-55,0
114,18:06.6,1,-55,0
115,18:06.8,1,-55,0
116,18:06.9,1,-55,0
117,18:07.1,1,-55,0
118,18:07.3,1,-55,0
119,18:07.4,1,-55,0
120,18:07.5,1,-56,0
121,18:07.6,1,-55,0
122,18:07.8,1,-55,0
123,18:07.9,1,-55,0
124,18:08.0,1,-55,0
125,18:08.2,1,-55,0
126,18:08.3,1,-55,0
127,18:08.4,1,-55,0
128,18:08.5,1,-55,0
129,18:08.6,1,-55,0
130,18:08.8,1,-55,0
131,18:08.9,1,-55,0
132,18:09.1,1,-55,0
133,18:09.2,1,-55,0
134,18:15.8,2,-58,0
135,18:28.5,2,-58,0
136,18:31.7,2,-58,0
137,18:31.9,2,-58,0
138,18:34.5,2,-58,0
139,18:34.6,2,-58,0
140,18:37.8,2,-58,0
141,18:38.2,2,-58,0
142,18:38.8,2,-58,0
143,18:40.7,2,-58,0
144,18:40.9,2,-58,0
145,18:42.7,2,-59,2
146,18:44.1,2,-58,0
147,18:44.3,2,-57,0
148,18:44.4,2,-57,0
149,18:44.7,2,-58,0
150,18:45.0,2,-57,1
151,18:47.6,2,-57,0
152,18:47.8,2,-57,0
153,18:47.9,2,-57,0
154,18:48.2,2,-57,0
155,18:48.5,2,-58,0
156,18:48.8,2,-57,0
157,18:49.6,2,-58,0
158,18:49.7,2,-58,0
159,18:50.8,2,-57,0
160,18:50.9,2,-57,0
161,18:51.0,2,-57,0
162,18:51.3,2,-58,0
163,18:51.6,2,-57,0
164,18:51.8,2,-58,1
165,18:52.3,2,-58,0
166,18:54.1,2,-58,1
167,18:54.3,2,-57,0
168,18:54.4,2,-57,0
169,18:54.5,2,-56,0
170,18:54.6,2,-55,0
171,18:54.8,2,-57,0
172,18:55.1,2,-56,0
173,18:55.2,2,-57,0
174,18:55.5,2,-57,0
175,18:55.7,2,-57,1
176,18:55.8,2,-58,0
177,18:55.8,2,-57,0
178,18:56.0,2,-58,0
179,18:56.2,2,-57,0
180,18:56.3,2,-57,0
181,18:56.4,2,-58,0
182,18:56.5,2,-57,0
183,18:56.8,2,-58,0
184,18:57.4,2,-59,3
185,18:57.7,2,-57,0
186,18:57.9,2,-58,0
187,18:58.2,2,-57,0
188,18:58.4,2,-56,0
189,18:58.5,2,-57,1
190,18:58.6,2,-57,0
191,18:59.2,2,-56,0
192,18:59.3,2,-57,0
193,18:59.4,2,-57,0
194,18:59.5,2,-58,0
195,18:59.6,2,-57,0
196,18:59.7,2,-57,0
197,18:59.8,2,-57,0
198,19:00.0,2,-57,0
199,19:00.2,2,-57,0
200,19:00.3,2,-57,0
201,19:00.5,2,-59,0
202,19:00.8,2,-57,0
203,19:01.5,2,-57,0
204,19:01.6,2,-56,0
205,19:01.8,2,-55,0
206,19:01.9,2,-55,0
207,19:02.1,2,-55,0
208,19:02.4,2,-57,1
209,19:02.6,2,-56,0
210,19:02.7,2,-56,0
211,19:02.9,2,-57,0
212,19:03.0,2,-57,0
213,19:03.1,2,-58,0
214,19:03.2,2,-57,0
215,19:03.3,2,-56,0
216,19:03.4,2,-57,0
217,19:03.5,2,-57,0
218,19:03.6,2,-57,0
219,19:03.6,2,-57,0
220,19:03.7,2,-56,0
221,19:03.8,2,-57,0
222,19:03.9,2,-58,0
223,19:04.2,2,-57,1
224,19:04.8,2,-57,0
225,19:04.9,2,-56,0
226,19:05.2,2,-56,1
227,19:05.3,2,-55,0
228,19:05.3,2,-56,1
229,19:05.5,2,-55,0
230,19:05.8,2,-57,0
231,19:05.9,2,-57,0
232,19:06.1,2,-56,0
233,19:06.3,2,-56,0
234,19:06.4,2,-56,0
235,19:06.4,2,-57,0
236,19:06.5,2,-56,0
237,19:06.6,2,-56,1
238,19:06.7,2,-56,0
239,19:06.8,2,-56,0
240,19:06.9,2,-56,0
241,19:07.0,2,-55,0
242,19:07.2,2,-56,0
243,19:07.2,2,-57,1
244,19:07.3,2,-56,0
245,19:07.5,2,-58,0
246,19:07.6,2,-58,0
247,19:07.7,2,-57,1
248,19:07.8,2,-58,0
249,19:08.0,2,-57,1
250,19:08.3,2,-56,1
251,19:08.4,2,-56,0
252,19:08.5,2,-56,0
253,19:08.6,2,-55,0
254,19:08.8,2,-55,0
255,19:08.9,2,-55,0
256,19:09.0,2,-55,0
257,19:09.2,2,-57,3
258,19:09.4,2,-56,1
259,19:09.6,2,-56,0
260,19:09.7,2,-55,0
261,19:09.7,2,-56,1
262,19:09.8,2,-56,0
263,19:09.9,2,-57,0
264,19:10.0,2,-55,1
265,19:10.2,2,-55,0
266,19:10.3,2,-55,0
267,19:10.3,2,-55,0
268,19:10.4,2,-56,1
269,19:10.5,2,-57,0
270,19:10.6,2,-57,0
271,19:10.7,2,-56,0
272,19:10.8,2,-56,0
273,19:10.9,2,-57,0
274,19:11.2,2,-57,0
275,19:11.3,2,-57,0
276,19:11.5,2,-57,0
277,19:11.6,2,-56,1
278,19:11.7,2,-55,0
279,19:11.8,2,-57,0
280,19:11.9,2,-57,0
281,19:12.1,2,-56,1
282,19:12.2,2,-55,0
283,19:12.3,2,-56,1
284,19:12.5,2,-57,0
285,19:12.7,2,-56,1
286,19:12.9,2,-55,0
287,19:13.0,2,-56,1
288,19:13.1,2,-56,0
289,19:13.2,2,-56,0
290,19:13.3,2,-57,0
291,19:13.4,2,-56,0
292,19:13.5,2,-55,0
293,19:13.6,2,-56,0
294,19:13.6,2,-55,0
295,19:13.7,2,-55,0
296,19:13.8,2,-55,0
297,19:13.9,2,-55,0
298,19:14.1,2,-57,0
299,19:14.2,2,-56,0
300,19:14.3,2,-56,2
301,19:14.4,2,-58,0
302,19:14.5,2,-58,0
303,19:14.6,2,-57,0
304,19:14.8,2,-57,0
305,19:14.9,2,-57,0
306,19:15.0,2,-58,0
307,19:15.2,2,-56,0
308,19:15.3,2,-55,0
309,19:15.5,2,-57,1
310,19:15.6,2,-55,0
311,19:15.7,2,-55,0
312,19:15.8,2,-56,3
313,19:15.9,2,-55,0
314,19:16.1,2,-56,1
315,19:16.2,2,-57,1
316,19:16.4,2,-55,0
317,19:16.5,2,-55,0
318,19:16.6,2,-55,0
319,19:16.7,2,-56,1
320,19:16.8,2,-56,0
321,19:16.9,2,-56,0
322,19:17.0,2,-55,0
323,19:17.1,2,-55,0
324,19:17.2,2,-55,0
325,19:17.3,2,-55,0
326,19:17.4,2,-55,0
327,19:17.5,2,-55,0
328,19:17.5,2,-55,0
329,19:17.6,2,-55,1
330,19:17.7,2,-56,0
331,19:17.8,2,-55,0
332,19:17.9,2,-56,0
333,19:18.0,2,-57,0
334,19:18.2,2,-57,0
335,19:18.3,2,-57,0
336,19:18.4,2,-57,0
337,19:18.5,2,-57,0
338,19:18.6,2,-57,0
339,19:18.7,2,-57,0
340,19:18.8,2,-56,1
341,19:19.0,2,-55,0
342,19:19.1,2,-57,1
343,19:19.2,2,-57,0
344,19:19.4,2,-55,0
345,19:19.5,2,-55,0
346,19:19.7,2,-55,0
347,19:19.8,2,-56,2
348,19:19.9,2,-58,0
349,19:20.0,2,-55,0
350,19:20.2,2,-56,1
351,19:20.3,2,-55,0
352,19:20.4,2,-55,0
353,19:20.5,2,-57,0
354,19:20.6,2,-55,0
355,19:20.7,2,-55,0
356,19:20.7,2,-55,0
357,19:20.8,2,-55,0
358,19:20.9,2,-55,0
359,19:21.0,2,-55,0
360,19:21.2,2,-55,0
361,19:21.3,2,-57,0
362,19:21.3,2,-55,0
363,19:21.4,2,-55,0
364,19:21.5,2,-56,0
365,19:21.6,2,-56,0
366,19:21.7,2,-57,0
367,19:21.8,2,-57,0
368,19:21.9,2,-57,0
369,19:22.1,2,-57,0
370,19:22.3,2,-57,0
371,19:22.4,2,-56,0
372,19:22.5,2,-55,0
373,19:22.6,2,-56,0
374,19:22.6,2,-57,0
375,19:22.8,2,-57,0
376,19:22.9,2,-56,0
377,19:23.1,2,-56,0
378,19:23.2,2,-57,1
379,19:23.3,2,-58,0
380,19:23.5,2,-56,1
381,19:23.6,2,-55,0
382,19:23.7,2,-55,0
383,19:23.8,2,-55,0
384,19:23.9,2,-55,0
385,19:24.0,2,-55,0
386,19:24.2,2,-56,0
387,19:24.3,2,-55,0
388,19:24.4,2,-55,0
389,19:24.5,2,-56,1
390,19:24.5,2,-55,0
391,19:24.6,2,-55,0
392,19:24.7,2,-55,0
393,19:24.8,2,-55,0
394,19:24.9,2,-56,1
395,19:25.1,2,-55,1
396,19:25.2,2,-55,0
397,19:25.3,2,-55,0
398,19:25.4,2,-56,0
399,19:25.5,2,-57,0
400,19:25.6,2,-56,0
401,19:25.8,2,-57,0
402,19:25.9,2,-57,0
403,19:26.0,2,-57,0
404,19:26.2,2,-57,0
405,19:26.3,2,-55,0
406,19:26.4,2,-56,1
407,19:26.5,2,-57,0
408,19:26.7,2,-57,0
409,19:26.8,2,-56,0
410,19:26.9,2,-55,0
411,19:27.1,2,-57,0
412,19:27.2,2,-57,1
413,19:27.4,2,-55,1
414,19:27.5,2,-55,0
415,19:27.6,2,-55,0
416,19:27.7,2,-56,0
417,19:27.8,2,-56,0
418,19:27.9,2,-55,0
419,19:28.1,2,-55,0
420,19:28.2,2,-55,0
421,19:28.3,2,-55,0
422,19:28.3,2,-55,0
423,19:28.5,2,-55,0
424,19:28.6,2,-55,0
