time,id,RSSI,phase
13 46 16 66471,e2001d8712171320c120,-55,"174
"
13 46 16 66521,e2001d871271320b9f,-49,"174
"
13 46 16 66588,e2001d8712171320c120,-56,"171
"
13 46 16 66604,e2001d871271320b9f,-49,"174
"
13 46 16 66621,e2001d8712461320db93,-55,"174
"
13 46 16 66638,e2001d8712401320d4a0,-52,"174
"
13 46 16 66655,e2001d871271320b9f,-49,"174
"
13 46 16 66671,e2001d8712461320db93,-55,"174
"
13 46 16 66688,e2001d8712171320c120,-55,"171
"
13 46 16 66688,e2001d8712171320c120,-55,"171
"
13 46 16 66720,e2001d871271320b9f,-50,"174
"
13 46 16 66737,e2001d8712401320d4a0,-52,"171
"
13 46 16 66787,e2001d871271320b9f,-49,"174
"
13 46 16 66803,e2001d8712461320db93,-55,"174
"
13 46 16 66821,e2001d8712171320c120,-56,"171
"
13 46 16 66837,e2001d8712401320d4a0,-52,"174
"
13 46 16 66871,e2001d8712461320db93,-53,"171
"
13 46 16 66887,e2001d8712401320d4a0,-51,"174
"
13 46 16 66921,e2001d871271320b9f,-49,"174
"
13 46 16 66938,e2001d8712461320db93,-53,"174
"
13 46 16 66955,e2001d8712171320c120,-58,"174
"
13 46 16 66971,e2001d8712461320db93,-55,"174
"
13 46 17 66987,e2001d871271320b9f,-49,"177
"
13 46 17 67004,e2001d8712171320c120,-57,"171
"
13 46 17 67021,e2001d8712401320d4a0,-51,"171
"
13 46 17 67054,e2001d8712461320db93,-55,"171
"
13 46 17 67054,e2001d8712461320db93,-55,"171
"
13 46 17 67086,e2001d871271320b9f,-49,"171
"
13 46 17 67138,e2001d8712401320d4a0,-52,"174
"
13 46 17 67155,e2001d8712461320db93,-52,"174
"
13 46 17 67188,e2001d871271320b9f,-49,"174
"
13 46 17 67204,e2001d8712401320d4a0,-52,"171
"
13 46 17 67221,e2001d871271320b9f,-49,"174
"
13 46 17 67238,e2001d8712401320d4a0,-53,"174
"
13 46 17 67254,e2001d8712461320db93,-52,"168
"
13 46 17 67254,e2001d8712461320db93,-52,"168
"
13 46 17 67288,e2001d8712401320d4a0,-52,"174
"
13 46 17 67320,e2001d871271320b9f,-49,"171
"
13 46 17 67338,e2001d8712461320db93,-51,"174
"
13 46 17 67338,e2001d8712461320db93,-51,"174
"
13 46 17 67370,e2001d8712401320d4a0,-52,"171
"
13 46 17 67388,e2001d871271320b9f,-49,"174
"
13 46 17 67455,e2001d871271320b9f,-49,"174
"
13 46 17 67487,e2001d8712461320db93,-51,"174
"
13 46 17 67555,e2001d871271320b9f,-49,"171
"
13 46 17 67571,e2001d8712401320d4a0,-52,"171
"
13 46 17 67588,e2001d871271320b9f,-49,"171
"
13 46 17 67605,e2001d8712401320d4a0,-52,"174
"
13 46 17 67638,e2001d8712461320db93,-52,"171
"
13 46 17 67655,e2001d8712401320d4a0,-52,"174
"
13 46 17 67671,e2001d8712461320db93,-52,"171
"
13 46 17 67721,e2001d871271320b9f,-49,"171
"
13 46 17 67737,e2001d8712461320db93,-52,"174
"
13 46 17 67772,e2001d8712461320db93,-52,"168
"
13 46 17 67788,e2001d871271320b9f,-49,"174
"
13 46 17 67820,e2001d8712461320db93,-52,"171
"
13 46 17 67837,e2001d8712401320d4a0,-52,"174
"
13 46 17 67888,e2001d8712401320d4a0,-52,"174
"
13 46 17 67904,e2001d8712171320c120,-55,"171
"
13 46 17 67938,e2001d8712461320db93,-52,"171
"
13 46 17 67954,e2001d8712171320c120,-55,"171
"
13 46 18 67987,e2001d8712461320db93,-52,"174
"
13 46 18 68004,e2001d8712401320d4a0,-51,"174
"
13 46 18 68037,e2001d8712401320d4a0,-52,"168
"
13 46 18 68054,e2001d8712461320db93,-52,"171
"
13 46 18 68088,e2001d8712401320d4a0,-53,"174
"
13 46 18 68104,e2001d871271320b9f,-50,"174
"
13 46 18 68137,e2001d871271320b9f,-50,"171
"
13 46 18 68154,e2001d8712401320d4a0,-52,"171
"
13 46 18 68171,e2001d8712461320db93,-52,"174
"
13 46 18 68204,e2001d871271320b9f,-50,"171
"
13 46 18 68221,e2001d8712461320db93,-51,"171
"
13 46 18 68221,e2001d8712461320db93,-51,"171
"
13 46 18 68271,e2001d8712401320d4a0,-52,"171
"
13 46 18 68288,e2001d8712461320db93,-51,"174
"
13 46 18 68288,e2001d8712461320db93,-51,"174
"
13 46 18 68321,e2001d871271320b9f,-50,"174
"
13 46 18 68338,e2001d8712461320db93,-51,"174
"
13 46 18 68371,e2001d871271320b9f,-49,"174
"
13 46 18 68387,e2001d8712401320d4a0,-52,"171
"
13 46 18 68387,e2001d8712401320d4a0,-52,"171
"
13 46 18 68421,e2001d871271320b9f,-50,"177
"
13 46 18 68437,e2001d8712401320d4a0,-52,"174
"
13 46 18 68471,e2001d8712401320d4a0,-51,"174
"
13 46 18 68471,e2001d8712401320d4a0,-51,"174
"
13 46 18 68505,e2001d8712171320c120,-55,"171
"
13 46 18 68521,e2001d8712401320d4a0,-51,"168
"
13 46 18 68554,e2001d8712171320c120,-53,"174
"
13 46 18 68571,e2001d8712401320d4a0,-50,"171
"
13 46 18 68587,e2001d871271320b9f,-49,"174
"
13 46 18 68604,e2001d8712461320db93,-55,"174
"
13 46 18 68621,e2001d871271320b9f,-49,"171
"
13 46 18 68621,e2001d871271320b9f,-49,"171
"
