time,id,RSSI,phase
13 39 1 68001,e2001d8712401320d4a0,-47,"171
"
13 39 1 68018,e2001d8712171320c120,-55,"174
"
13 39 1 68051,e2001d871271320b9f,-49,"171
"
13 39 1 68067,e2001d8712401320d4a0,-47,"171
"
13 39 2 68100,e2001d8712401320d4a0,-47,"174
"
13 39 2 68117,e2001d871271320b9f,-49,"174
"
13 39 2 68117,e2001d871271320b9f,-49,"174
"
13 39 2 68151,e2001d8712401320d4a0,-47,"171
"
13 39 2 68168,e2001d871271320b9f,-49,"171
"
13 39 2 68201,e2001d8712401320d4a0,-47,"174
"
13 39 2 68217,e2001d871271320b9f,-50,"174
"
13 39 2 68234,e2001d8712461320db93,-52,"174
"
13 39 2 68268,e2001d8712401320d4a0,-49,"174
"
13 39 2 68284,e2001d8712461320db93,-53,"171
"
13 39 2 68318,e2001d871271320b9f,-50,"174
"
13 39 2 68333,e2001d8712461320db93,-53,"168
"
13 39 2 68333,e2001d8712461320db93,-53,"168
"
13 39 2 68384,e2001d8712401320d4a0,-49,"174
"
13 39 2 68400,e2001d8712461320db93,-52,"174
"
13 39 2 68434,e2001d8712401320d4a0,-49,"171
"
13 39 2 68451,e2001d8712461320db93,-53,"174
"
13 39 2 68468,e2001d8712171320c120,-58,"168
"
13 39 2 68468,e2001d8712171320c120,-58,"168
"
13 39 2 68501,e2001d871271320b9f,-49,"174
"
13 39 2 68517,e2001d8712401320d4a0,-49,"171
"
13 39 2 68550,e2001d8712461320db93,-52,"174
"
13 39 2 68584,e2001d871271320b9f,-49,"174
"
13 39 2 68601,e2001d8712401320d4a0,-49,"174
"
13 39 2 68635,e2001d8712461320db93,-53,"174
"
13 39 2 68635,e2001d8712461320db93,-53,"174
"
13 39 2 68667,e2001d8712401320d4a0,-49,"174
"
13 39 2 68717,e2001d8712401320d4a0,-49,"174
"
13 39 2 68734,e2001d871271320b9f,-50,"171
"
13 39 2 68751,e2001d8712461320db93,-53,"171
"
13 39 2 68751,e2001d8712461320db93,-53,"171
"
13 39 2 68784,e2001d8712401320d4a0,-49,"174
"
13 39 2 68801,e2001d871271320b9f,-50,"171
"
13 39 2 68834,e2001d8712461320db93,-53,"174
"
13 39 2 68851,e2001d8712401320d4a0,-49,"174
"
13 39 2 68867,e2001d871271320b9f,-51,"174
"
13 39 2 68884,e2001d8712401320d4a0,-49,"174
"
13 39 2 68901,e2001d8712461320db93,-53,"174
"
13 39 2 68901,e2001d8712461320db93,-53,"174
"
13 39 2 68934,e2001d8712461320db93,-53,"174
"
13 39 2 68951,e2001d871271320b9f,-49,"171
"
13 39 2 69001,e2001d871271320b9f,-50,"168
"
13 39 2 69051,e2001d8712461320db93,-56,"171
"
13 39 2 69067,e2001d871271320b9f,-49,"174
"
13 39 3 69085,e2001d8712461320db93,-56,"174
"
13 39 3 69118,e2001d8712401320d4a0,-49,"171
"
13 39 3 69118,e2001d8712401320d4a0,-49,"171
"
13 39 3 69118,e2001d8712401320d4a0,-49,"171
"
13 39 3 69168,e2001d871271320b9f,-49,"171
"
13 39 3 69184,e2001d8712171320c120,-53,"174
"
13 39 3 69218,e2001d8712401320d4a0,-49,"174
"
13 39 3 69234,e2001d8712461320db93,-55,"171
"
13 39 3 69267,e2001d8712461320db93,-53,"174
"
13 39 3 69284,e2001d871271320b9f,-50,"171
"
13 39 3 69318,e2001d871271320b9f,-49,"174
"
13 39 3 69351,e2001d8712461320db93,-53,"174
"
13 39 3 69367,e2001d8712401320d4a0,-49,"174
"
13 39 3 69401,e2001d8712461320db93,-53,"168
"
13 39 3 69418,e2001d871271320b9f,-49,"168
"
13 39 3 69433,e2001d8712401320d4a0,-49,"171
"
13 39 3 69450,e2001d871271320b9f,-50,"174
"
13 39 3 69485,e2001d871271320b9f,-50,"171
"
13 39 3 69501,e2001d8712401320d4a0,-49,"171
"
13 39 3 69518,e2001d8712401320d4a0,-49,"174
"
13 39 3 69534,e2001d871271320b9f,-49,"174
"
13 39 3 69567,e2001d871271320b9f,-50,"174
"
13 39 3 69584,e2001d8712461320db93,-53,"171
"
13 39 3 69584,e2001d8712461320db93,-53,"171
"
13 39 3 69584,e2001d8712461320db93,-53,"171
"
13 39 3 69634,e2001d871271320b9f,-50,"174
"
13 39 3 69685,e2001d8712401320d4a0,-49,"174
"
13 39 3 69701,e2001d871271320b9f,-50,"174
"
13 39 3 69734,e2001d8712401320d4a0,-49,"168
"
13 39 3 69751,e2001d871271320b9f,-49,"174
"
13 39 3 69768,e2001d871271320b9f,-49,"171
"
13 39 3 69801,e2001d871271320b9f,-49,"171
"
13 39 3 69818,e2001d8712461320db93,-53,"0
"
13 39 3 69818,e2001d8712461320db93,-53,"0
"
13 39 3 69851,e2001d8712461320db93,-53,"171
"
13 39 3 69867,e2001d871271320b9f,-49,"174
"
13 39 3 69901,e2001d8712461320db93,-52,"171
"
13 39 3 69917,e2001d871271320b9f,-49,"174
"
