time,activity,mean,variance,tag_id
05:52.3,2,-49,0,3
05:52.4,2,-50,0,3
05:52.4,2,-49,0,3
05:52.5,2,-50,0,3
05:52.6,2,-51,0,3
05:52.7,2,-49,0,3
05:52.7,2,-51,0,3
05:52.8,2,-51,0,3
05:52.9,2,-51,0,3
05:53.0,2,-51,0,3
05:53.1,2,-51,0,3
05:53.2,2,-51,1,3
05:53.3,2,-50,0,3
05:53.4,2,-50,0,3
05:53.5,2,-50,0,3
05:53.6,2,-50,1,3
05:53.7,2,-51,0,3
05:53.7,2,-51,0,3
05:53.9,2,-49,1,3
05:53.9,2,-49,0,3
06:05.9,3,-57,0,1
06:05.9,3,-52,0,3
06:06.0,3,-51,0,3
06:06.1,3,-49,0,3
06:06.2,3,-57,0,1
06:06.2,3,-50,1,3
06:06.3,3,-57,0,1
06:06.4,3,-57,0,1
06:06.4,3,-51,0,3
06:06.5,3,-57,0,1
06:06.5,3,-55,0,1
06:06.5,3,-49,0,3
06:06.6,3,-54,1,1
06:06.6,3,-49,0,3
06:06.7,3,-49,0,3
06:06.8,3,-53,1,1
06:06.9,3,-55,0,1
06:06.9,3,-50,0,3
06:07.0,3,-55,0,1
06:07.0,3,-50,0,3
06:07.1,3,-50,0,3
06:07.2,3,-56,1,1
06:07.2,3,-50,0,3
06:07.3,3,-57,0,1
06:07.3,3,-50,0,3
06:07.4,3,-57,0,1
06:07.4,3,-51,0,3
06:07.6,3,-55,0,1
06:07.6,3,-49,1,3
06:07.7,3,-55,1,1
06:07.7,3,-49,0,3
06:07.8,3,-55,0,1
06:07.8,3,-58,1,1
06:07.8,3,-49,0,3
06:07.9,3,-50,0,3
06:08.0,3,-50,0,3
06:08.2,3,-52,0,3
06:08.3,3,-52,0,3
06:08.4,3,-52,0,3
06:08.5,3,-52,0,3
06:08.6,3,-49,0,3
06:08.6,3,-49,0,3
06:08.7,3,-58,0,1
06:08.7,3,-51,0,3
06:08.8,3,-57,0,1
06:08.8,3,-49,0,3
06:08.9,3,-57,0,1
06:08.9,3,-49,0,3
06:09.0,3,-49,0,3
06:09.1,3,-56,2,1
06:09.2,3,-51,0,3
06:09.3,3,-55,0,1
06:09.3,3,-56,0,1
06:09.3,3,-51,0,3
06:09.4,3,-57,0,1
06:09.5,3,-56,0,1
06:09.5,3,-51,0,3
06:09.6,3,-51,0,3
06:09.7,3,-56,0,1
06:09.7,3,-51,0,3
06:09.8,3,-55,0,1
06:09.9,3,-55,0,1
06:09.9,3,-49,0,3
06:10.0,3,-55,0,1
06:10.0,3,-51,0,3
06:10.0,3,-49,0,3
06:10.1,3,-57,3,1
06:10.1,3,-51,1,3
06:10.2,3,-56,1,1
06:10.2,3,-52,0,3
06:10.3,3,-52,0,3
06:10.4,3,-57,0,1
06:10.4,3,-57,0,1
06:10.4,3,-54,1,3
06:10.5,3,-52,4,3
06:10.6,3,-57,0,1
06:10.6,3,-51,0,3
06:10.7,3,-51,0,3
06:10.8,3,-58,0,1
06:10.9,3,-51,0,3
06:11.0,3,-51,0,3
06:11.2,3,-52,0,3
06:11.3,3,-51,0,3
06:11.3,3,-52,0,3
06:11.5,3,-51,0,3
06:11.5,3,-51,0,3
06:11.6,3,-50,0,3
06:11.7,3,-57,0,1
06:11.7,3,-51,0,3
06:11.8,3,-57,0,1
06:11.8,3,-50,1,3
06:11.9,3,-56,0,1
06:11.9,3,-51,0,3
06:12.0,3,-57,0,1
06:12.0,3,-51,0,3
06:12.1,3,-55,1,1
06:12.2,3,-49,0,3
06:12.3,3,-55,0,1
06:12.3,3,-49,0,3
06:12.4,3,-55,0,1
06:12.4,3,-49,0,3
06:12.5,3,-53,1,1
06:12.5,3,-47,1,3
06:12.7,3,-53,1,1
06:12.7,3,-47,0,3
06:12.8,3,-55,0,1
06:12.8,3,-49,0,3
06:12.8,3,-49,0,3
06:12.9,3,-56,1,1
06:12.9,3,-50,1,3
06:13.0,3,-56,1,1
06:13.0,3,-50,0,3
06:13.1,3,-49,0,3
06:13.2,3,-57,0,1
06:13.2,3,-49,0,3
06:13.3,3,-57,0,1
06:13.3,3,-49,0,3
06:13.4,3,-50,0,3
06:13.5,3,-52,0,3
06:13.6,3,-52,0,3
06:13.7,3,-51,1,3
06:13.8,3,-57,0,1
06:13.9,3,-57,0,1
06:13.9,3,-50,0,3
06:14.0,3,-50,0,3
06:14.1,3,-57,0,1
06:14.1,3,-51,1,3
06:14.2,3,-57,0,1
06:14.3,3,-57,0,1
06:14.3,3,-52,0,3
06:14.4,3,-52,0,3
06:14.5,3,-56,1,1
06:14.5,3,-51,0,3
06:14.6,3,-56,1,1
06:14.6,3,-51,0,3
06:14.7,3,-55,1,1
