,time,activity,mean,variance
0,05:32.0,1,-51,0
1,05:31.1,1,-51,0
2,05:31.3,1,-51,0
3,05:31.4,1,-51,0
4,05:31.4,1,-50,1
5,05:31.6,1,-50,1
6,05:31.7,1,-49,0
7,05:31.7,1,-50,0
8,05:31.8,1,-50,0
9,05:31.9,1,-49,0
10,05:32.2,1,-50,0
11,05:32.1,1,-50,1
12,05:32.2,1,-51,0
13,05:32.3,1,-51,0
14,05:32.4,1,-51,1
15,05:32.5,1,-50,0
16,05:32.6,1,-51,0
17,05:32.7,1,-50,0
18,05:32.8,1,-51,0
19,05:32.9,1,-51,0
20,05:33.0,1,-52,0
21,05:33.5,1,-51,0
22,05:33.2,1,-51,0
23,05:33.3,1,-51,0
24,05:33.4,1,-51,0
25,05:33.4,1,-51,0
26,05:33.5,1,-51,0
27,05:33.6,1,-51,0
28,05:33.7,1,-51,0
29,05:33.8,1,-51,0
30,05:33.9,1,-51,0
31,05:34.0,1,-51,0
32,05:34.8,1,-51,0
33,05:34.2,1,-51,0
34,05:34.3,1,-51,0
35,05:34.4,1,-49,0
36,05:34.5,1,-49,0
37,05:34.6,1,-49,0
38,05:34.7,1,-50,0
39,05:34.8,1,-50,1
40,05:34.9,1,-49,0
41,05:35.0,1,-51,0
42,05:35.7,1,-50,1
43,05:35.2,1,-50,0
44,05:35.3,1,-50,1
45,05:35.4,1,-49,0
46,05:35.5,1,-49,0
47,05:35.6,1,-49,0
48,05:35.7,1,-49,0
49,05:35.8,1,-50,0
50,05:35.9,1,-50,0
51,05:36.0,1,-51,0
52,05:36.7,1,-51,0
53,05:36.2,1,-51,0
54,05:36.4,1,-51,0
55,05:36.5,1,-51,0
56,05:36.6,1,-51,0
57,05:36.7,1,-50,0
58,05:36.8,1,-50,0
59,05:36.9,1,-50,0
60,05:37.0,1,-51,0
61,05:37.8,1,-51,0
62,05:37.2,1,-51,0
63,05:37.3,1,-50,2
64,05:37.4,1,-49,0
65,05:37.6,1,-49,0
66,05:37.7,1,-49,0
67,05:37.8,1,-49,0
68,05:37.9,1,-50,1
69,05:38.0,1,-51,0
70,05:38.8,1,-50,0
71,05:38.2,1,-50,0
72,05:38.3,1,-50,0
73,05:38.4,1,-50,0
74,05:38.5,1,-50,0
75,05:38.6,1,-50,0
76,05:38.7,1,-51,0
77,05:38.8,1,-51,0
78,05:38.9,1,-51,0
79,05:39.0,1,-51,0
80,05:39.9,1,-51,0
81,05:39.2,1,-51,0
82,05:39.3,1,-50,1
83,05:39.4,1,-49,0
84,05:39.5,1,-49,0
85,05:39.6,1,-49,0
86,05:39.7,1,-49,0
87,05:39.9,1,-50,1
88,05:40.0,1,-49,0
89,05:40.8,1,-50,0
90,05:40.2,1,-49,0
91,05:40.3,1,-49,1
92,05:40.4,1,-51,0
93,05:40.5,1,-51,0
94,05:40.6,1,-51,0
95,05:40.6,1,-50,1
96,05:40.7,1,-49,0
97,05:40.9,1,-49,0
98,05:41.0,1,-51,0
99,05:41.1,1,-51,0
100,05:41.2,1,-51,0
101,05:41.3,1,-51,0
102,05:41.4,1,-51,0
103,05:41.5,1,-51,0
104,05:41.6,1,-50,0
105,05:41.7,1,-49,0
106,05:41.7,1,-50,0
107,05:41.9,1,-49,0
108,05:42.1,1,-50,0
109,05:42.2,1,-49,0
110,05:42.4,1,-49,0
111,05:44.5,2,-52,0
112,05:44.6,2,-51,0
113,05:44.7,2,-51,0
114,05:44.8,2,-51,0
115,05:44.9,2,-51,0
116,05:45.0,2,-50,0
117,05:45.9,2,-50,0
118,05:45.2,2,-50,0
119,05:45.3,2,-50,0
120,05:45.4,2,-51,0
121,05:45.5,2,-50,0
122,05:45.6,2,-50,0
123,05:45.7,2,-50,0
124,05:45.7,2,-50,0
125,05:45.8,2,-50,0
126,05:45.9,2,-51,0
127,05:46.0,2,-51,0
128,05:47.0,2,-50,0
129,05:46.2,2,-51,0
130,05:46.3,2,-51,0
131,05:46.4,2,-51,0
132,05:46.5,2,-51,0
133,05:46.6,2,-51,0
134,05:46.7,2,-50,0
135,05:46.8,2,-51,0
136,05:46.8,2,-50,1
137,05:46.9,2,-49,0
138,05:47.3,2,-49,0
139,05:47.1,2,-49,0
140,05:47.2,2,-49,0
141,05:47.3,2,-49,0
142,05:47.4,2,-49,0
143,05:47.5,2,-49,0
144,05:47.6,2,-49,1
145,05:47.7,2,-51,0
146,05:47.8,2,-51,0
147,05:47.9,2,-50,0
148,05:48.0,2,-50,0
149,05:48.7,2,-50,0
150,05:48.2,2,-49,0
151,05:48.3,2,-49,0
152,05:48.3,2,-50,0
153,05:48.4,2,-50,0
154,05:48.5,2,-49,0
155,05:48.6,2,-50,0
156,05:48.7,2,-51,0
157,05:48.8,2,-51,0
158,05:48.9,2,-50,0
159,05:49.0,2,-49,0
160,05:50.0,2,-49,0
161,05:49.2,2,-49,0
162,05:49.3,2,-51,0
163,05:49.4,2,-50,0
164,05:49.5,2,-50,0
165,05:49.6,2,-50,0
166,05:49.7,2,-51,0
167,05:49.8,2,-51,0
168,05:49.9,2,-51,1
169,05:49.9,2,-50,0
170,05:50.2,2,-50,0
171,05:50.1,2,-50,0
172,05:50.2,2,-51,0
173,05:50.3,2,-51,0
174,05:50.4,2,-51,0
175,05:50.5,2,-51,0
176,05:50.6,2,-51,0
177,05:50.7,2,-52,0
178,05:50.8,2,-52,0
179,05:50.9,2,-50,3
180,05:51.0,2,-49,0
181,05:51.5,2,-49,0
182,05:51.2,2,-49,0
183,05:51.2,2,-49,0
184,05:51.3,2,-50,0
185,05:51.4,2,-50,0
186,05:51.5,2,-50,0
187,05:51.6,2,-50,0
188,05:51.7,2,-51,0
189,05:51.8,2,-51,0
190,05:51.9,2,-49,0
191,05:52.0,2,-49,0
192,05:52.7,2,-49,0
193,05:52.2,2,-49,0
194,05:52.3,2,-49,0
195,05:52.4,2,-50,0
196,05:52.4,2,-49,0
197,05:52.5,2,-50,0
198,05:52.6,2,-51,0
199,05:52.7,2,-51,0
200,05:52.8,2,-51,0
201,05:52.9,2,-51,0
202,05:53.0,2,-51,0
203,05:53.1,2,-51,0
204,05:53.2,2,-51,1
205,05:53.3,2,-50,0
206,05:53.4,2,-50,0
207,05:53.5,2,-50,0
208,05:53.6,2,-50,1
209,05:53.7,2,-51,0
210,05:53.7,2,-51,0
211,05:53.9,2,-49,1
212,05:53.9,2,-49,0
213,06:05.9,3,-52,0
214,06:06.0,3,-51,0
215,06:06.1,3,-49,0
216,06:06.2,3,-50,1
217,06:06.4,3,-51,0
218,06:06.5,3,-49,0
219,06:06.6,3,-49,0
220,06:06.7,3,-49,0
221,06:06.9,3,-50,0
222,06:07.0,3,-50,0
223,06:07.1,3,-50,0
224,06:07.2,3,-50,0
225,06:07.3,3,-50,0
226,06:07.4,3,-51,0
227,06:07.6,3,-49,1
228,06:07.7,3,-49,0
229,06:07.8,3,-49,0
230,06:07.9,3,-50,0
231,06:08.0,3,-50,0
232,06:08.7,3,-51,0
233,06:08.2,3,-52,0
234,06:08.3,3,-52,0
235,06:08.4,3,-52,0
236,06:08.5,3,-52,0
237,06:08.6,3,-49,0
238,06:08.6,3,-49,0
239,06:08.8,3,-49,0
240,06:08.9,3,-49,0
241,06:09.0,3,-49,0
242,06:10.0,3,-51,0
243,06:09.2,3,-51,0
244,06:09.3,3,-51,0
245,06:09.5,3,-51,0
246,06:09.6,3,-51,0
247,06:09.7,3,-51,0
248,06:09.9,3,-49,0
249,06:10.0,3,-49,0
250,06:10.1,3,-51,1
251,06:10.2,3,-52,0
252,06:10.3,3,-52,0
253,06:10.4,3,-54,1
254,06:10.5,3,-52,4
255,06:10.6,3,-51,0
256,06:10.7,3,-51,0
257,06:10.9,3,-51,0
258,06:11.0,3,-51,0
259,06:11.7,3,-51,0
260,06:11.2,3,-52,0
261,06:11.3,3,-51,0
262,06:11.3,3,-52,0
263,06:11.5,3,-51,0
264,06:11.5,3,-51,0
265,06:11.6,3,-50,0
266,06:11.8,3,-50,1
267,06:11.9,3,-51,0
268,06:12.0,3,-51,0
269,06:12.8,3,-49,0
270,06:12.2,3,-49,0
271,06:12.3,3,-49,0
272,06:12.4,3,-49,0
273,06:12.5,3,-47,1
274,06:12.7,3,-47,0
