time,id,id_num,RSSI,phase,activity
00:05:35.20,e2001d8712171320c120,1,-59,"171
",1
00:05:35.50,e2001d8712171320c120,1,-57,"171
",1
00:05:36.30,e2001d8712171320c120,1,-58,"171
",1
00:05:36.40,e2001d8712171320c120,1,-58,"171
",1
00:05:36.40,e2001d8712171320c120,1,-61,"174
",1
00:05:36.50,e2001d8712171320c120,1,-59,"171
",1
00:05:37.40,e2001d8712171320c120,1,-56,"171
",1
00:05:37.40,e2001d8712171320c120,1,-55,"171
",1
00:05:37.40,e2001d8712171320c120,1,-56,"174
",1
00:05:37.50,e2001d8712171320c120,1,-55,"171
",1
00:05:37.50,e2001d8712171320c120,1,-55,"171
",1
00:05:37.60,e2001d8712171320c120,1,-56,"171
",1
00:05:37.60,e2001d8712171320c120,1,-55,"171
",1
00:05:37.60,e2001d8712171320c120,1,-57,"171
",1
00:05:37.70,e2001d8712171320c120,1,-56,"174
",1
00:05:38.40,e2001d8712171320c120,1,-59,"174
",1
00:05:38.50,e2001d8712171320c120,1,-58,"174
",1
00:05:38.60,e2001d8712171320c120,1,-58,"168
",1
00:05:38.60,e2001d8712171320c120,1,-59,"177
",1
00:05:39.60,e2001d8712171320c120,1,-58,"174
",1
00:05:39.60,e2001d8712171320c120,1,-58,"174
",1
00:05:39.70,e2001d8712171320c120,1,-57,"171
",1
00:05:39.70,e2001d8712171320c120,1,-57,"171
",1
00:05:39.80,e2001d8712171320c120,1,-58,"174
",1
00:05:39.80,e2001d8712171320c120,1,-58,"171
",1
00:05:40.70,e2001d8712171320c120,1,-57,"171
",1
00:05:40.80,e2001d8712171320c120,1,-57,"174
",1
00:05:40.80,e2001d8712171320c120,1,-56,"174
",1
00:05:40.80,e2001d8712171320c120,1,-57,"171
",1
00:05:40.90,e2001d8712171320c120,1,-55,"171
",1
00:05:40.90,e2001d8712171320c120,1,-55,"174
",1
00:05:41.00,e2001d8712171320c120,1,-55,"171
",1
00:05:42.00,e2001d8712171320c120,1,-58,"168
",1
00:05:42.70,e2001d8712171320c120,1,-55,"171
",1
00:05:42.80,e2001d8712171320c120,1,-55,"171
",1
00:05:42.10,e2001d8712171320c120,1,-55,"171
",1
00:05:42.20,e2001d8712171320c120,1,-56,"174
",1
00:05:42.20,e2001d8712171320c120,1,-58,"174
",1
00:05:42.20,e2001d8712171320c120,1,-57,"174
",1
00:05:42.30,e2001d8712171320c120,1,-58,"174
",1
00:06:05.90,e2001d8712171320c120,1,-58,"168
",3
00:06:05.90,e2001d8712171320c120,1,-57,"168
",3
00:06:05.90,e2001d8712171320c120,1,-58,"171
",3
00:06:06.00,e2001d8712171320c120,1,-58,"168
",3
00:06:06.20,e2001d8712171320c120,1,-57,"174
",3
00:06:06.50,e2001d8712171320c120,1,-58,"174
",3
00:06:07.00,e2001d8712171320c120,1,-57,"171
",3
00:06:06.10,e2001d8712171320c120,1,-58,"174
",3
00:06:06.20,e2001d8712171320c120,1,-57,"171
",3
00:06:06.20,e2001d8712171320c120,1,-58,"174
",3
00:06:06.30,e2001d8712171320c120,1,-57,"171
",3
00:06:06.30,e2001d8712171320c120,1,-57,"171
",3
00:06:06.30,e2001d8712171320c120,1,-57,"171
",3
00:06:06.40,e2001d8712171320c120,1,-57,"174
",3
00:06:06.40,e2001d8712171320c120,1,-58,"171
",3
00:06:06.40,e2001d8712171320c120,1,-58,"174
",3
00:06:06.50,e2001d8712171320c120,1,-57,"168
",3
00:06:06.50,e2001d8712171320c120,1,-56,"171
",3
00:06:06.60,e2001d8712171320c120,1,-55,"174
",3
00:06:06.60,e2001d8712171320c120,1,-55,"174
",3
00:06:06.60,e2001d8712171320c120,1,-55,"171
",3
00:06:06.70,e2001d8712171320c120,1,-55,"174
",3
00:06:06.70,e2001d8712171320c120,1,-53,"171
",3
00:06:06.80,e2001d8712171320c120,1,-53,"174
",3
00:06:06.80,e2001d8712171320c120,1,-53,"171
",3
00:06:06.80,e2001d8712171320c120,1,-55,"171
",3
00:06:06.90,e2001d8712171320c120,1,-55,"168
",3
00:06:06.90,e2001d8712171320c120,1,-55,"174
",3
00:06:06.90,e2001d8712171320c120,1,-55,"174
",3
00:06:07.00,e2001d8712171320c120,1,-55,"174
",3
00:06:07.20,e2001d8712171320c120,1,-55,"174
",3
00:06:07.50,e2001d8712171320c120,1,-55,"171
",3
00:06:07.80,e2001d8712171320c120,1,-55,"174
",3
00:06:07.10,e2001d8712171320c120,1,-55,"174
",3
00:06:07.20,e2001d8712171320c120,1,-55,"171
",3
00:06:07.20,e2001d8712171320c120,1,-55,"174
",3
00:06:07.20,e2001d8712171320c120,1,-57,"174
",3
00:06:07.30,e2001d8712171320c120,1,-57,"174
",3
00:06:07.30,e2001d8712171320c120,1,-57,"171
",3
00:06:07.30,e2001d8712171320c120,1,-57,"171
",3
00:06:07.40,e2001d8712171320c120,1,-57,"174
",3
00:06:07.40,e2001d8712171320c120,1,-57,"174
",3
00:06:07.50,e2001d8712171320c120,1,-57,"174
",3
00:06:07.50,e2001d8712171320c120,1,-57,"174
",3
00:06:07.60,e2001d8712171320c120,1,-55,"171
",3
00:06:07.60,e2001d8712171320c120,1,-55,"174
",3
00:06:07.60,e2001d8712171320c120,1,-55,"171
",3
00:06:07.70,e2001d8712171320c120,1,-55,"171
",3
00:06:07.70,e2001d8712171320c120,1,-55,"168
",3
00:06:07.80,e2001d8712171320c120,1,-57,"171
",3
00:06:07.80,e2001d8712171320c120,1,-57,"171
",3
00:06:07.90,e2001d8712171320c120,1,-59,"174
",3
00:06:08.70,e2001d8712171320c120,1,-58,"174
",3
00:06:08.70,e2001d8712171320c120,1,-58,"174
",3
00:06:08.80,e2001d8712171320c120,1,-58,"174
",3
00:06:08.80,e2001d8712171320c120,1,-58,"171
",3
00:06:08.80,e2001d8712171320c120,1,-58,"174
",3
00:06:08.90,e2001d8712171320c120,1,-57,"174
",3
00:06:08.90,e2001d8712171320c120,1,-57,"168
",3
00:06:08.90,e2001d8712171320c120,1,-57,"171
",3
00:06:09.00,e2001d8712171320c120,1,-57,"174
",3
00:06:09.00,e2001d8712171320c120,1,-57,"171
",3
00:06:09.30,e2001d8712171320c120,1,-55,"174
",3
