,time,activity,mean,variance
0,05:35.5,1,-57,9
1,05:36.3,1,-56,1
2,05:37.3,1,-56,3
3,05:37.9,1,-56,0
4,05:39.5,1,-55,4
5,05:41.8,1,-55,1
6,07:35.2,5,-54,4
7,07:35.4,5,-53,3
8,07:35.7,5,-55,0
9,07:35.9,5,-54,3
10,07:36.2,5,-55,6
11,07:36.5,5,-56,0
12,07:36.6,5,-54,2
13,07:36.7,5,-57,0
14,07:38.2,5,-55,0
15,07:38.1,5,-52,0
16,07:38.3,5,-52,0
17,07:38.6,5,-55,7
18,07:38.9,5,-55,0
19,07:39.5,5,-56,2
20,07:40.8,5,-57,0
21,07:41.0,5,-55,6
22,07:41.5,5,-55,0
23,07:41.8,5,-56,1
24,07:42.8,5,-54,1
25,07:42.3,5,-57,1
26,07:42.4,5,-57,4
27,07:43.1,5,-55,0
28,07:43.2,5,-52,0
29,07:43.4,5,-52,0
30,07:43.5,5,-52,5
31,07:43.7,5,-56,0
32,07:44.8,5,-52,0
33,07:44.5,5,-53,1
34,07:44.6,5,-55,0
35,07:45.5,5,-53,1
36,07:45.2,5,-55,0
37,07:45.3,5,-57,1
38,07:46.5,5,-55,0
39,07:46.2,5,-55,0
40,07:46.3,5,-56,0
41,07:46.7,5,-56,0
42,07:46.9,5,-55,7
43,07:47.2,5,-53,8
44,07:47.3,5,-53,5
45,07:47.6,5,-56,0
46,07:47.7,5,-57,0
47,07:48.0,5,-56,0
48,07:48.3,5,-55,1
49,07:48.4,5,-55,0
50,07:48.5,5,-54,5
51,07:48.7,5,-56,0
52,07:48.8,5,-56,0
53,07:49.2,5,-53,8
54,07:49.5,5,-52,0
55,07:50.7,5,-51,0
56,07:50.5,5,-52,0
57,07:50.6,5,-54,2
58,07:50.7,5,-57,0
59,07:50.9,5,-56,2
60,07:51.2,5,-57,3
61,07:51.3,5,-57,0
62,07:51.4,5,-56,0
63,07:51.6,5,-54,3
64,07:52.5,5,-54,1
65,07:52.9,5,-54,7
66,07:54.2,5,-58,0
67,07:54.4,5,-54,2
68,07:54.8,5,-52,0
69,07:55.3,5,-56,0
70,07:55.4,5,-56,2
71,07:55.6,5,-57,0
72,07:56.9,5,-57,0
73,07:57.6,5,-52,0
74,07:57.8,5,-55,4
75,07:58.3,5,-55,0
76,07:58.4,5,-55,0
77,07:58.5,5,-57,3
78,07:59.3,5,-57,0
79,07:59.4,5,-56,0
80,07:59.6,5,-54,3
81,08:00.5,5,-51,0
82,08:00.4,5,-54,3
83,08:01.2,5,-53,1
84,08:01.1,5,-55,0
85,08:01.2,5,-57,0
86,08:01.6,5,-55,0
87,08:01.7,5,-55,0
88,08:01.8,5,-55,0
89,08:02.0,5,-55,0
90,08:02.1,5,-56,3
91,08:03.3,5,-56,7
92,08:03.6,5,-52,0
93,08:03.7,5,-52,0
94,08:03.8,5,-52,0
95,08:04.0,5,-55,0
96,08:04.7,5,-55,0
97,08:04.6,5,-55,0
98,08:04.7,5,-55,0
99,08:04.8,5,-54,3
100,08:05.0,5,-52,0
101,08:05.1,5,-55,0
102,08:05.5,5,-55,0
103,08:05.8,5,-57,4
104,08:06.5,5,-53,5
105,08:06.7,5,-53,0
106,08:06.8,5,-52,0
107,08:06.9,5,-53,1
108,08:07.0,5,-53,0
109,08:07.2,5,-55,0
110,08:07.3,5,-55,0
111,08:07.4,5,-55,0
112,08:07.5,5,-55,0
113,08:07.7,5,-55,1
114,08:08.3,5,-55,0
115,08:08.6,5,-51,0
116,08:08.8,5,-53,4
117,08:09.3,5,-55,0
118,08:09.4,5,-56,2
119,08:10.5,5,-58,0
120,08:10.3,5,-57,1
121,08:10.8,5,-52,4
122,08:11.3,5,-51,0
123,08:11.8,5,-55,0
124,08:12.1,5,-55,0
125,08:12.3,5,-55,1
126,08:12.4,5,-56,0
127,08:12.9,5,-57,0
128,08:13.0,5,-56,1
129,08:13.1,5,-55,0
130,08:13.4,5,-56,1
131,08:13.9,5,-55,0
132,08:14.2,5,-53,4
133,08:14.4,5,-54,1
134,08:14.5,5,-55,0
135,08:14.6,5,-57,0
136,08:15.6,5,-58,0
137,08:15.7,5,-57,0
138,08:15.9,5,-56,2
139,08:16.3,5,-52,5
140,08:16.4,5,-52,1
141,08:16.7,5,-56,7
142,08:17.1,5,-55,1
143,08:18.3,5,-55,0
144,08:18.1,5,-55,0
145,08:19.8,5,-53,3
146,08:19.4,5,-56,2
147,08:19.6,5,-58,1
148,08:20.5,5,-57,0
149,08:20.6,5,-55,0
150,08:20.7,5,-55,6
151,08:21.2,5,-53,3
152,08:21.4,5,-51,0
153,08:21.6,5,-53,2
154,08:56.3,7,-57,0
155,08:56.4,7,-57,0
156,08:56.7,7,-57,1
157,08:56.9,7,-57,0
158,10:51.4,4,-53,1
159,10:51.7,4,-54,3
160,10:51.9,4,-55,0
161,10:52.1,4,-51,0
162,10:52.4,4,-52,0
163,10:52.8,4,-53,1
164,10:53.0,4,-52,0
165,10:53.2,4,-52,0
166,10:53.6,4,-54,1
167,11:01.5,5,-57,0
168,11:01.6,5,-56,2
169,11:01.8,5,-54,1
170,11:02.0,5,-54,3
171,11:02.2,5,-51,0
172,11:02.3,5,-53,5
173,11:02.5,5,-54,1
174,11:02.7,5,-54,3
175,11:03.0,5,-53,2
176,11:03.1,5,-52,1
177,11:03.3,5,-54,1
178,11:03.4,5,-57,1
179,11:03.7,5,-56,0
180,11:04.0,5,-57,1
181,11:04.8,5,-58,0
182,11:04.2,5,-56,1
183,11:04.3,5,-56,2
184,11:04.5,5,-54,5
185,11:04.6,5,-55,0
186,11:04.9,5,-54,1
187,11:05.0,5,-54,1
188,11:05.1,5,-55,0
189,11:05.2,5,-56,1
