time,id,id_num,RSSI,phase,activity
11:10.9,e2001d8712461320db93,3,-52,"171
",5
11:10.9,e2001d8712401320d4a0,2,-51,"171
",5
11:11.3,e2001d8712171320c120,1,-58,"174
",5
11:11.5,e2001d8712401320d4a0,2,-55,"168
",5
11:11.7,e2001d8712401320d4a0,2,-56,"174
",5
11:12.0,e2001d8712401320d4a0,2,-57,"171
",5
11:11.1,e2001d8712461320db93,3,-59,"174
",5
11:11.1,e2001d8712401320d4a0,2,-57,"168
",5
11:11.2,e2001d8712461320db93,3,-58,"174
",5
11:11.2,e2001d8712461320db93,3,-58,"168
",5
11:11.2,e2001d8712461320db93,3,-58,"174
",5
11:11.3,e2001d8712461320db93,3,-57,"174
",5
11:11.3,e2001d8712461320db93,3,-55,"171
",5
11:11.3,e2001d8712461320db93,3,-55,"171
",5
11:11.3,e2001d8712461320db93,3,-55,"174
",5
11:11.4,e2001d8712461320db93,3,-55,"174
",5
11:11.4,e2001d8712461320db93,3,-55,"174
",5
11:11.4,e2001d8712171320c120,1,-58,"171
",5
11:11.4,e2001d8712461320db93,3,-55,"174
",5
11:11.5,e2001d8712461320db93,3,-55,"174
",5
11:11.5,e2001d8712171320c120,1,-57,"174
",5
11:11.5,e2001d8712171320c120,1,-56,"171
",5
11:11.5,e2001d8712461320db93,3,-55,"168
",5
11:11.6,e2001d8712171320c120,1,-56,"174
",5
11:11.6,e2001d8712461320db93,3,-55,"171
",5
11:11.6,e2001d8712171320c120,1,-56,"171
",5
11:11.6,e2001d8712461320db93,3,-55,"168
",5
11:11.6,e2001d8712461320db93,3,-53,"168
",5
11:11.6,e2001d8712461320db93,3,-57,"174
",5
11:11.7,e2001d8712461320db93,3,-55,"174
",5
11:11.7,e2001d8712461320db93,3,-55,"174
",5
11:11.7,e2001d8712461320db93,3,-57,"168
",5
11:11.8,e2001d8712461320db93,3,-57,"171
",5
11:11.8,e2001d8712461320db93,3,-56,"174
",5
11:11.8,e2001d8712461320db93,3,-56,"177
",5
11:11.9,e2001d8712461320db93,3,-57,"174
",5
11:11.9,e2001d8712461320db93,3,-53,"174
",5
11:11.9,e2001d8712461320db93,3,-53,"174
",5
11:11.9,e2001d8712461320db93,3,-52,"171
",5
11:12.0,e2001d8712461320db93,3,-53,"174
",5
11:12.0,e2001d8712401320d4a0,2,-61,"171
",5
11:12.5,e2001d8712401320d4a0,2,-59,"168
",5
11:12.7,e2001d8712461320db93,3,-55,"171
",5
11:12.1,e2001d8712461320db93,3,-55,"171
",5
11:12.1,e2001d8712401320d4a0,2,-58,"174
",5
11:12.2,e2001d871271320b9f,4,-57,"168
",5
11:12.2,e2001d8712461320db93,3,-56,"177
",5
11:12.2,e2001d8712401320d4a0,2,-59,"171
",5
11:12.2,e2001d871271320b9f,4,-55,"174
",5
11:12.2,e2001d8712461320db93,3,-57,"171
",5
11:12.2,e2001d871271320b9f,4,-55,"171
",5
11:12.2,e2001d8712461320db93,3,-57,"171
",5
11:12.3,e2001d8712401320d4a0,2,-61,"168
",5
11:12.4,e2001d8712461320db93,3,-56,"174
",5
11:12.4,e2001d871271320b9f,4,-57,"171
",5
11:12.4,e2001d8712401320d4a0,2,-53,"171
",5
11:12.4,e2001d8712461320db93,3,-55,"171
",5
11:12.5,e2001d8712401320d4a0,2,-55,"171
",5
11:12.5,e2001d871271320b9f,4,-55,"171
",5
11:12.5,e2001d871271320b9f,4,-55,"174
",5
11:12.5,e2001d8712401320d4a0,2,-55,"171
",5
11:12.5,e2001d8712401320d4a0,2,-53,"174
",5
11:12.6,e2001d8712401320d4a0,2,-56,"174
",5
11:12.6,e2001d871271320b9f,4,-52,"171
",5
11:12.6,e2001d8712401320d4a0,2,-56,"171
",5
11:12.7,e2001d871271320b9f,4,-55,"168
",5
11:12.7,e2001d871271320b9f,4,-52,"174
",5
11:12.7,e2001d8712401320d4a0,2,-55,"171
",5
11:12.8,e2001d8712461320db93,3,-59,"174
",5
11:12.8,e2001d8712401320d4a0,2,-55,"171
",5
11:12.8,e2001d871271320b9f,4,-53,"174
",5
11:12.8,e2001d8712461320db93,3,-57,"171
",5
11:12.8,e2001d871271320b9f,4,-52,"171
",5
11:12.9,e2001d8712401320d4a0,2,-52,"174
",5
11:12.9,e2001d8712401320d4a0,2,-52,"174
",5
11:12.9,e2001d871271320b9f,4,-50,"171
",5
11:12.9,e2001d871271320b9f,4,-51,"174
",5
11:13.0,e2001d871271320b9f,4,-50,"168
",5
11:13.0,e2001d8712401320d4a0,2,-51,"171
",5
11:13.2,e2001d8712461320db93,3,-57,"168
",5
11:13.4,e2001d8712461320db93,3,-57,"174
",5
11:13.5,e2001d8712401320d4a0,2,-51,"168
",5
11:13.1,e2001d8712401320d4a0,2,-51,"171
",5
