,time,activity,mean,variance
0,00:05:35.20,1,-58,1
1,00:05:36.40,1,-59,2
2,00:05:37.40,1,-55,0
3,00:05:37.50,1,-55,0
4,00:05:37.60,1,-56,1
5,00:05:38.40,1,-58,0
6,00:05:38.60,1,-58,0
7,00:05:39.70,1,-57,0
8,00:05:39.80,1,-57,0
9,00:05:40.80,1,-56,1
10,00:05:40.90,1,-56,3
11,00:05:42.70,1,-55,0
12,00:05:42.20,1,-57,1
13,00:06:05.90,3,-57,0
14,00:06:06.50,3,-57,0
15,00:06:06.20,3,-57,0
16,00:06:06.30,3,-57,0
17,00:06:06.40,3,-57,0
18,00:06:06.50,3,-55,0
19,00:06:06.60,3,-54,1
20,00:06:06.80,3,-53,1
21,00:06:06.90,3,-55,0
22,00:06:07.00,3,-55,0
23,00:06:07.80,3,-55,0
24,00:06:07.20,3,-56,1
25,00:06:07.30,3,-57,0
26,00:06:07.40,3,-57,0
27,00:06:07.60,3,-55,0
28,00:06:07.70,3,-55,1
29,00:06:07.80,3,-58,1
30,00:06:08.70,3,-58,0
31,00:06:08.80,3,-57,0
32,00:06:08.90,3,-57,0
33,00:06:09.30,3,-55,0
34,00:06:09.10,3,-56,2
35,00:06:09.30,3,-56,0
36,00:06:09.40,3,-57,0
37,00:06:09.50,3,-56,0
38,00:06:09.70,3,-56,0
39,00:06:09.80,3,-55,0
40,00:06:09.90,3,-55,0
41,00:06:10.00,3,-55,0
42,00:06:10.10,3,-57,3
43,00:06:10.20,3,-56,1
44,00:06:10.40,3,-57,0
45,00:06:10.40,3,-57,0
46,00:06:10.60,3,-57,0
47,00:06:10.80,3,-58,0
48,00:06:11.70,3,-57,0
49,00:06:11.80,3,-57,0
50,00:06:11.90,3,-56,0
51,00:06:12.00,3,-57,0
52,00:06:12.10,3,-55,1
53,00:06:12.30,3,-55,0
54,00:06:12.40,3,-55,0
55,00:06:12.50,3,-53,1
56,00:06:12.70,3,-53,1
57,00:06:12.80,3,-55,0
58,00:06:12.90,3,-56,1
59,00:06:13.00,3,-56,1
60,00:06:13.80,3,-57,0
61,00:06:13.20,3,-57,0
62,00:06:13.30,3,-57,0
63,00:06:13.90,3,-57,0
64,00:06:14.20,3,-57,0
65,00:06:14.10,3,-57,0
66,00:06:14.30,3,-57,0
67,00:06:14.50,3,-56,1
68,00:06:14.60,3,-56,1
69,00:06:14.70,3,-55,1
70,00:06:14.80,3,-55,0
71,00:06:15.00,3,-54,1
72,00:06:15.70,3,-55,0
73,00:06:15.20,3,-53,1
74,00:06:15.30,3,-55,0
75,00:06:15.40,3,-55,0
76,00:06:15.50,3,-55,0
77,00:06:15.70,3,-55,0
78,00:06:15.80,3,-57,0
79,00:06:16.90,3,-57,0
80,00:06:17.70,3,-55,0
81,00:06:17.20,3,-55,0
