time,id,RSSI,phase
14 9 14 59635,e2001d8712461320db93,-57,"171
"
14 9 14 59668,e2001d871271320b9f,-49,"174
"
14 9 14 59685,e2001d8712171320c120,-53,"174
"
14 9 14 59718,e2001d8712461320db93,-55,"171
"
14 9 14 59734,e2001d871271320b9f,-49,"171
"
14 9 14 59769,e2001d8712461320db93,-55,"168
"
14 9 14 59785,e2001d8712171320c120,-52,"171
"
14 9 14 59802,e2001d871271320b9f,-49,"171
"
14 9 14 59835,e2001d8712171320c120,-52,"174
"
14 9 14 59852,e2001d8712461320db93,-55,"174
"
14 9 14 59852,e2001d8712461320db93,-55,"174
"
14 9 14 59885,e2001d8712461320db93,-55,"171
"
14 9 14 59902,e2001d871271320b9f,-49,"171
"
14 9 14 59918,e2001d8712171320c120,-52,"174
"
14 9 14 59935,e2001d8712461320db93,-56,"168
"
14 9 14 59952,e2001d871271320b9f,-49,"174
"
14 9 14 59969,e2001d8712461320db93,-55,"168
"
14 9 14 59986,e2001d871271320b9f,-51,"174
"
14 9 14 60019,e2001d8712171320c120,-55,"174
"
14 9 14 60035,e2001d8712461320db93,-55,"171
"
14 9 14 60052,e2001d8712171320c120,-55,"174
"
14 9 14 60067,e2001d871271320b9f,-49,"168
"
14 9 14 60067,e2001d871271320b9f,-49,"168
"
14 9 14 60102,e2001d871271320b9f,-49,"171
"
14 9 14 60102,e2001d871271320b9f,-49,"171
"
14 9 14 60134,e2001d8712461320db93,-55,"168
"
14 9 14 60134,e2001d8712461320db93,-55,"168
"
14 9 14 60168,e2001d871271320b9f,-52,"171
"
14 9 14 60185,e2001d8712461320db93,-52,"174
"
14 9 14 60202,e2001d8712171320c120,-56,"177
"
14 9 14 60218,e2001d8712461320db93,-53,"174
"
14 9 14 60235,e2001d871271320b9f,-49,"174
"
14 9 14 60268,e2001d8712171320c120,-55,"177
"
14 9 14 60284,e2001d871271320b9f,-49,"174
"
14 9 14 60302,e2001d8712461320db93,-52,"174
"
14 9 14 60319,e2001d8712171320c120,-57,"174
"
14 9 14 60319,e2001d8712171320c120,-57,"174
"
14 9 14 60351,e2001d8712461320db93,-52,"168
"
14 9 14 60367,e2001d8712171320c120,-55,"174
"
14 9 14 60385,e2001d871271320b9f,-49,"174
"
14 9 14 60402,e2001d8712461320db93,-51,"174
"
14 9 14 60402,e2001d8712461320db93,-51,"174
"
14 9 14 60435,e2001d871271320b9f,-49,"174
"
14 9 14 60452,e2001d8712461320db93,-52,"171
"
14 9 14 60468,e2001d8712171320c120,-52,"171
"
14 9 14 60485,e2001d8712461320db93,-52,"171
"
14 9 14 60501,e2001d871271320b9f,-49,"174
"
14 9 15 60518,e2001d8712171320c120,-52,"171
"
14 9 15 60551,e2001d8712171320c120,-53,"171
"
14 9 15 60569,e2001d8712461320db93,-49,"174
"
14 9 15 60586,e2001d871271320b9f,-49,"174
"
14 9 15 60618,e2001d871271320b9f,-49,"174
"
14 9 15 60635,e2001d8712171320c120,-53,"174
"
14 9 15 60651,e2001d8712461320db93,-52,"174
"
14 9 15 60668,e2001d871271320b9f,-49,"174
"
14 9 15 60685,e2001d8712171320c120,-52,"174
"
14 9 15 60701,e2001d8712461320db93,-53,"171
"
14 9 15 60701,e2001d8712461320db93,-53,"171
"
14 9 15 60736,e2001d8712461320db93,-52,"171
"
14 9 15 60752,e2001d871271320b9f,-49,"174
"
14 9 15 60768,e2001d8712171320c120,-52,"171
"
14 9 15 60785,e2001d8712171320c120,-52,"171
"
14 9 15 60801,e2001d871271320b9f,-49,"174
"
14 9 15 60801,e2001d871271320b9f,-49,"174
"
14 9 15 60835,e2001d8712461320db93,-53,"174
"
14 9 15 60851,e2001d871271320b9f,-49,"171
"
14 9 15 60851,e2001d871271320b9f,-49,"171
"
14 9 15 60886,e2001d8712461320db93,-52,"171
"
14 9 15 60902,e2001d8712171320c120,-51,"171
"
14 9 15 60919,e2001d8712461320db93,-52,"171
"
14 9 15 60935,e2001d871271320b9f,-49,"171
"
14 9 15 60952,e2001d8712171320c120,-52,"171
"
14 9 15 60968,e2001d8712461320db93,-53,"174
"
14 9 15 60985,e2001d871271320b9f,-49,"174
"
14 9 15 60985,e2001d871271320b9f,-49,"174
"
14 9 15 61019,e2001d8712171320c120,-52,"174
"
14 9 15 61036,e2001d871271320b9f,-46,"171
"
14 9 15 61051,e2001d8712461320db93,-55,"174
"
14 9 15 61068,e2001d8712171320c120,-51,"171
"
14 9 15 61085,e2001d871271320b9f,-46,"174
"
14 9 15 61101,e2001d8712461320db93,-51,"174
"
14 9 15 61119,e2001d871271320b9f,-49,"174
"
14 9 15 61135,e2001d8712171320c120,-52,"174
"
14 9 15 61152,e2001d8712461320db93,-55,"171
"
14 9 15 61152,e2001d8712461320db93,-55,"171
"
14 9 15 61185,e2001d871271320b9f,-49,"174
"
14 9 15 61202,e2001d8712171320c120,-52,"171
"
14 9 15 61218,e2001d8712461320db93,-53,"171
"
14 9 15 61218,e2001d8712461320db93,-53,"171
"
14 9 15 61218,e2001d8712461320db93,-53,"171
"
14 9 15 61268,e2001d8712461320db93,-55,"174
"
14 9 15 61285,e2001d871271320b9f,-46,"168
"
14 9 15 61319,e2001d8712171320c120,-52,"174
"
14 9 15 61335,e2001d871271320b9f,-49,"174
"
14 9 15 61352,e2001d8712171320c120,-52,"171
"
14 9 15 61385,e2001d8712461320db93,-55,"171
"
14 9 15 61402,e2001d871271320b9f,-47,"174
"
14 9 15 61435,e2001d8712171320c120,-52,"171
"
14 9 15 61452,e2001d871271320b9f,-49,"171
"
14 9 15 61486,e2001d8712461320db93,-55,"168
"
14 9 15 61502,e2001d8712171320c120,-52,"174
"
14 9 16 61519,e2001d8712461320db93,-55,"171
"
14 9 16 61519,e2001d8712461320db93,-55,"171
"
14 9 16 61551,e2001d8712171320c120,-51,"174
"
14 9 16 61569,e2001d871271320b9f,-49,"174
"
14 9 16 61602,e2001d871271320b9f,-49,"174
"
14 9 16 61618,e2001d8712461320db93,-53,"174
"
14 9 16 61635,e2001d8712171320c120,-56,"174
"
14 9 16 61651,e2001d8712461320db93,-53,"171
"
14 9 16 61651,e2001d8712461320db93,-53,"171
"
14 9 16 61685,e2001d8712171320c120,-57,"171
"
14 9 16 61701,e2001d871271320b9f,-49,"174
"
14 9 16 61718,e2001d871271320b9f,-49,"174
"
14 9 16 61736,e2001d8712171320c120,-57,"174
"
