,run,activity,time,id,RSSI,phase
81,3,2,16 46 2 35110,2,-55,174
83,3,2,16 46 2 35145,2,-55,177
84,3,2,16 46 2 35161,1,-51,174
86,3,2,16 46 2 35210,2,-55,171
87,3,2,16 46 2 35226,1,-52,168
88,3,2,16 46 2 35260,1,-53,174
89,3,2,16 46 2 35278,3,-55,171
91,3,2,16 46 2 35311,3,-55,174
92,3,2,16 46 2 35328,2,-55,174
93,3,2,16 46 2 35361,3,-53,168
94,3,2,16 46 2 35394,1,-53,171
95,3,2,16 46 2 35411,3,-55,171
96,3,2,16 46 2 35445,1,-53,171
97,3,2,16 46 2 35478,2,-55,171
98,3,2,16 46 2 35494,3,-55,174
99,3,2,16 46 2 35511,1,-53,171
100,3,2,16 46 2 35527,2,-55,171
101,3,2,16 46 2 35545,3,-56,168
102,3,2,16 46 2 35561,1,-52,171
104,3,2,16 46 2 35593,3,-57,174
105,3,2,16 46 2 35611,2,-53,171
106,3,2,16 46 3 35645,1,-52,168
107,3,2,16 46 3 35661,3,-57,177
108,3,2,16 46 3 35678,1,-52,174
110,3,2,16 46 3 35728,2,-55,171
112,3,2,16 46 3 35761,1,-52,174
113,3,2,16 46 3 35778,2,-55,171
114,3,2,16 46 3 35794,3,-58,171
115,3,2,16 46 3 35810,2,-55,171
116,3,2,16 46 3 35845,1,-52,171
118,3,2,16 46 3 35877,3,-57,174
119,3,2,16 46 3 35893,1,-52,171
120,3,2,16 46 3 35927,2,-53,174
121,3,2,16 46 3 35944,3,-57,174
0,3,3,16 46 6 39410,2,-55,174
1,3,3,16 46 6 39427,1,-51,168
2,3,3,16 46 6 39444,3,-55,174
4,3,3,16 46 6 39478,1,-52,171
5,3,3,16 46 6 39494,2,-55,171
6,3,3,16 46 6 39510,3,-56,174
8,3,3,16 46 6 39545,2,-55,174
9,3,3,16 46 6 39561,3,-56,174
10,3,3,16 46 6 39577,1,-52,168
11,3,3,16 46 6 39595,1,-52,171
13,3,3,16 46 7 39627,3,-56,174
14,3,3,16 46 7 39644,2,-55,174
15,3,3,16 46 7 39661,3,-57,174
16,3,3,16 46 7 39678,1,-51,174
17,3,3,16 46 7 39694,2,-55,168
18,3,3,16 46 7 39711,1,-52,171
19,3,3,16 46 7 39728,2,-55,174
20,3,3,16 46 7 39744,3,-57,174
22,3,3,16 46 7 39777,2,-55,174
23,3,3,16 46 7 39794,1,-52,168
24,3,3,16 46 7 39811,2,-55,174
25,3,3,16 46 7 39828,3,-57,174
28,3,3,16 46 7 39877,1,-55,174
29,3,3,16 46 7 39895,2,-55,171
30,3,3,16 46 7 39912,3,-57,171
31,3,3,16 46 7 39928,2,-55,168
32,3,3,16 46 7 39944,1,-53,171
33,3,3,16 46 7 39961,3,-56,171
34,3,3,16 46 7 39994,2,-56,174
35,3,3,16 46 7 40011,1,-52,171
36,3,3,16 46 7 40027,3,-55,171
37,3,3,16 46 7 40045,1,-53,174
38,3,3,16 46 7 40078,3,-57,174
40,3,3,16 46 7 40111,3,-56,168
41,3,3,16 46 7 40128,1,-55,177
