, ,run,activity,time,id,RSSI,phase
962,,2,2,13 39 39 23494,4,-49,174
964,,2,2,13 39 39 23528,4,-49,174
967,,2,2,13 39 40 23627,4,-49,174
968,,2,2,13 39 40 23661,4,-49,174
969,,2,2,13 39 40 23694,4,-50,171
972,,2,2,13 39 40 23744,4,-50,168
975,,2,2,13 39 40 23794,4,-50,171
977,,2,2,13 39 40 23845,4,-50,171
979,,2,2,13 39 40 23877,4,-51,168
980,,2,2,13 39 40 23894,4,-50,174
982,,2,2,13 39 40 23928,4,-50,171
985,,2,2,13 39 40 23994,4,-50,171
986,,2,2,13 39 40 24027,4,-50,174
987,,2,2,13 39 40 24061,4,-49,174
989,,2,2,13 39 40 24111,4,-50,168
990,,2,2,13 39 40 24145,4,-50,174
993,,2,2,13 39 40 24194,4,-50,174
996,,2,2,13 39 40 24262,4,-50,168
998,,2,2,13 39 40 24312,4,-50,171
1001,,2,2,13 39 40 24377,4,-50,171
1009,,2,2,13 39 40 24561,4,-49,174
1012,,2,2,13 39 41 24628,4,-49,171
1016,,2,2,13 39 41 24712,4,-49,174
1082,,2,4,13 39 47 30695,4,-50,174
1085,,2,4,13 39 47 30778,4,-51,174
1087,,2,4,13 39 47 30812,4,-51,171
1088,,2,4,13 39 47 30828,4,-52,171
1091,,2,4,13 39 47 30877,4,-51,174
1093,,2,4,13 39 47 30929,4,-52,174
1095,,2,4,13 39 47 30962,4,-52,168
1096,,2,4,13 39 47 30978,4,-52,174
1097,,2,4,13 39 47 31012,4,-51,174
1101,,2,4,13 39 47 31078,4,-52,171
1104,,2,4,13 39 47 31145,4,-52,171
1106,,2,4,13 39 47 31179,4,-52,174
1107,,2,4,13 39 47 31195,4,-52,174
1110,,2,4,13 39 47 31279,4,-52,174
1111,,2,4,13 39 47 31294,4,-55,174
1112,,2,4,13 39 47 31327,4,-55,174
1113,,2,4,13 39 47 31379,4,-55,174
1115,,2,4,13 39 47 31412,4,-56,171
1117,,2,4,13 39 47 31444,4,-55,174
1118,,2,4,13 39 47 31479,4,-55,174
1119,,2,4,13 39 47 31512,4,-55,174
1120,,2,4,13 39 47 31544,4,-58,174
1121,,2,4,13 39 47 31579,4,-56,171
1122,,2,4,13 39 47 31612,4,-55,171
1123,,2,4,13 39 48 31645,4,-55,174
1124,,2,4,13 39 48 31679,4,-55,171
1125,,2,4,13 39 48 31694,4,-55,174
1126,,2,4,13 39 48 31729,4,-55,174
1127,,2,4,13 39 48 31762,4,-55,171
1128,,2,4,13 39 48 31795,4,-55,174
1129,,2,4,13 39 48 31828,4,-53,171
1130,,2,4,13 39 48 31861,4,-55,174
1131,,2,4,13 39 48 31895,4,-55,174
1132,,2,4,13 39 48 31928,4,-55,171
1133,,2,4,13 39 48 31962,4,-55,174
1135,,2,4,13 39 48 32011,4,-51,174
1137,,2,4,13 39 48 32045,4,-51,168
1138,,2,4,13 39 48 32061,4,-51,171
1140,,2,4,13 39 48 32112,4,-50,171
1142,,2,4,13 39 48 32145,4,-50,171
1144,,2,4,13 39 48 32195,4,-50,171
1147,,2,4,13 39 48 32244,4,-49,171
1149,,2,4,13 39 48 32277,4,-49,177
1151,,2,4,13 39 48 32327,4,-49,174
1153,,2,4,13 39 48 32361,4,-49,174
1156,,2,4,13 39 48 32429,4,-49,174
1158,,2,4,13 39 48 32478,4,-49,171
1163,,2,4,13 39 48 32578,4,-49,168
1164,,2,4,13 39 48 32594,4,-49,168
1168,,2,4,13 39 49 32679,4,-49,174
1170,,2,4,13 39 49 32745,4,-49,174
1174,,2,4,13 39 49 32829,4,-50,174
1175,,2,4,13 39 49 32846,4,-49,171
1331,,2,7,13 40 0 43995,4,-55,174
1334,,2,7,13 40 0 44045,4,-53,174
1336,,2,7,13 40 0 44079,4,-55,171
1341,,2,7,13 40 0 44212,4,-52,174
1346,,2,7,13 40 0 44345,4,-51,177
1348,,2,7,13 40 0 44395,4,-52,174
1349,,2,7,13 40 0 44429,4,-52,174
1351,,2,7,13 40 0 44479,4,-52,174
1357,,2,7,13 40 1 44645,4,-51,171
1358,,2,7,13 40 1 44662,4,-52,171
1360,,2,7,13 40 1 44695,4,-51,171
1361,,2,7,13 40 1 44712,4,-51,174
1363,,2,7,13 40 1 44779,4,-51,171
1366,,2,7,13 40 1 44829,4,-51,171
1367,,2,7,13 40 1 44862,4,-51,174
1370,,2,7,13 40 1 44962,4,-51,174
1371,,2,7,13 40 1 44995,4,-49,171
1373,,2,7,13 40 1 45028,4,-50,171
1374,,2,7,13 40 1 45044,4,-51,174
1377,,2,7,13 40 1 45112,4,-49,171
1378,,2,7,13 40 1 45129,4,-50,174
1380,,2,7,13 40 1 45179,4,-50,168
1383,,2,7,13 40 1 45246,4,-49,174
1385,,2,7,13 40 1 45279,4,-49,171
1386,,2,7,13 40 1 45312,4,-49,171
1388,,2,7,13 40 1 45362,4,-49,174
1390,,2,7,13 40 1 45394,4,-50,168
1393,,2,7,13 40 1 45462,4,-50,171
1397,,2,7,13 40 1 45563,4,-49,174
1398,,2,7,13 40 1 45596,4,-50,174
1401,,2,7,13 40 2 45662,4,-49,171
1402,,2,7,13 40 2 45679,4,-49,174
1551,,2,10,13 40 14 58096,4,-49,174
1553,,2,10,13 40 14 58146,4,-49,171
1557,,2,10,13 40 14 58263,4,-49,174
1560,,2,10,13 40 14 58362,4,-49,174
1566,,2,10,13 40 14 58546,4,-49,171
1568,,2,10,13 40 15 58613,4,-49,168
1571,,2,10,13 40 15 58695,4,-49,168
1573,,2,10,13 40 15 58762,4,-49,168
1576,,2,10,13 40 15 58828,4,-49,174
1578,,2,10,13 40 15 58896,4,-49,171
1579,,2,10,13 40 15 58929,4,-49,174
1585,,2,10,13 40 15 59029,4,-49,174
1588,,2,10,13 40 15 59130,4,-49,174
1590,,2,10,13 40 15 59179,4,-49,171
1592,,2,10,13 40 15 59229,4,-49,171
1594,,2,10,13 40 15 59278,4,-49,174
1599,,2,10,13 40 15 59413,4,-49,174
1601,,2,10,13 40 15 59467,4,-49,171
1604,,2,10,13 40 15 59580,4,-49,174
1609,,2,10,13 40 16 59762,4,-49,174
1611,,2,10,13 40 16 59828,4,-49,174
1614,,2,10,13 40 16 59930,4,-49,174
1617,,2,10,13 40 16 59979,4,-49,174
1623,,2,10,13 40 16 60113,4,-49,174
1624,,2,10,13 40 16 60145,4,-50,171
1628,,2,10,13 40 16 60229,4,-50,174
1630,,2,10,13 40 16 60263,4,-49,174
1633,,2,10,13 40 16 60329,4,-49,171
1636,,2,10,13 40 16 60397,4,-49,174
1638,,2,10,13 40 16 60447,4,-49,171
1644,,2,10,13 40 16 60611,4,-47,168
1778,,3,2,13 42 9 24170,4,-49,171
1780,,3,2,13 42 9 24204,4,-50,171
1784,,3,2,13 42 9 24304,4,-50,171
1786,,3,2,13 42 10 24386,4,-50,174
1790,,3,2,13 42 10 24470,4,-51,171
