,run,activity,time,id,RSSI,phase
50,6,2,13 59 24 31375,e2001d871271320b9f,-49,171
51,6,2,13 59 24 31393,e2001d8712171320c120,-51,171
52,6,2,13 59 24 31410,e2001d871271320b9f,-49,174
53,6,2,13 59 25 31443,e2001d8712461320db93,-51,174
54,6,2,13 59 25 31459,e2001d871271320b9f,-47,174
55,6,2,13 59 25 31475,e2001d8712171320c120,-51,168
56,6,2,13 59 25 31509,e2001d8712461320db93,-53,171
57,6,2,13 59 25 31526,e2001d8712171320c120,-51,171
58,6,2,13 59 25 31559,e2001d8712461320db93,-53,174
59,6,2,13 59 25 31575,e2001d8712171320c120,-51,171
60,6,2,13 59 25 31575,e2001d8712171320c120,-51,171
61,6,2,13 59 25 31575,e2001d8712171320c120,-51,171
62,6,2,13 59 25 31626,e2001d8712171320c120,-51,171
63,6,2,13 59 25 31643,e2001d871271320b9f,-47,171
64,6,2,13 59 25 31676,e2001d8712171320c120,-51,171
65,6,2,13 59 25 31710,e2001d8712461320db93,-53,174
66,6,2,13 59 25 31710,e2001d8712461320db93,-53,174
67,6,2,13 59 25 31743,e2001d871271320b9f,-47,171
68,6,2,13 59 25 31759,e2001d8712171320c120,-49,174
69,6,2,13 59 25 31776,e2001d8712461320db93,-53,171
70,6,2,13 59 25 31776,e2001d8712461320db93,-53,171
71,6,2,13 59 25 31776,e2001d8712461320db93,-53,171
72,6,2,13 59 25 31826,e2001d8712171320c120,-57,171
73,6,2,13 59 25 31843,e2001d8712461320db93,-52,174
74,6,2,13 59 25 31876,e2001d8712171320c120,-58,174
75,6,2,13 59 25 31893,e2001d8712461320db93,-52,168
76,6,2,13 59 25 31909,e2001d871271320b9f,-49,171
77,6,2,13 59 25 31926,e2001d8712461320db93,-53,168
78,6,2,13 59 25 31943,e2001d8712171320c120,-55,174
79,6,2,13 59 25 31959,e2001d8712171320c120,-56,174
80,6,2,13 59 25 31976,e2001d8712461320db93,-52,174
81,6,2,13 59 25 31993,e2001d871271320b9f,-49,174
82,6,2,13 59 25 32010,e2001d8712171320c120,-57,171
83,6,2,13 59 25 32026,e2001d871271320b9f,-49,174
84,6,2,13 59 25 32043,e2001d8712461320db93,-52,174
85,6,2,13 59 25 32043,e2001d8712461320db93,-52,174
86,6,2,13 59 25 32076,e2001d8712461320db93,-53,171
87,6,2,13 59 25 32093,e2001d871271320b9f,-49,171
88,6,2,13 59 25 32093,e2001d871271320b9f,-49,171
89,6,2,13 59 25 32126,e2001d871271320b9f,-49,171
90,6,2,13 59 25 32143,e2001d8712461320db93,-55,174
91,6,2,13 59 25 32143,e2001d8712461320db93,-55,174
92,6,2,13 59 25 32176,e2001d8712461320db93,-55,174
93,6,2,13 59 25 32193,e2001d871271320b9f,-47,171
