, ,RSSI,Unnamed: 0,activity,id,phase,run,time
407,,-55,455,6,3,174,3,16 46 25 58345
408,,-55,456,6,3,168,3,16 46 25 58378
409,,-55,457,6,3,168,3,16 46 25 58412
410,,-56,458,6,3,174,3,16 46 25 58446
411,,-56,459,6,3,168,3,16 46 25 58495
412,,-57,460,6,3,174,3,16 46 25 58561
413,,-57,461,6,3,171,3,16 46 26 58628
429,,-57,477,6,3,171,3,16 46 26 59112
430,,-57,478,6,3,174,3,16 46 26 59162
433,,-56,481,6,3,171,3,16 46 26 59212
434,,-55,482,6,3,171,3,16 46 26 59244
436,,-55,484,6,3,171,3,16 46 26 59312
439,,-53,487,6,3,171,3,16 46 26 59362
440,,-53,488,6,3,171,3,16 46 26 59378
442,,-52,490,6,3,174,3,16 46 26 59412
444,,-52,492,6,3,168,3,16 46 26 59445
446,,-52,494,6,3,168,3,16 46 26 59513
448,,-52,496,6,3,174,3,16 46 26 59563
449,,-51,497,6,3,171,3,16 46 27 59629
451,,-52,499,6,3,171,3,16 46 27 59678
452,,-52,500,6,3,174,3,16 46 27 59695
454,,-52,502,6,3,174,3,16 46 27 59745
456,,-52,504,6,3,171,3,16 46 27 59779
458,,-52,506,6,3,174,3,16 46 27 59845
460,,-51,508,6,3,174,3,16 46 27 59878
462,,-52,510,6,3,171,3,16 46 27 59912
464,,-52,512,6,3,171,3,16 46 27 59962
470,,-51,518,6,3,174,3,16 46 27 60128
471,,-51,519,6,3,174,3,16 46 27 60145
474,,-51,522,6,3,177,3,16 46 27 60228
476,,-51,524,6,3,174,3,16 46 27 60261
478,,-57,526,7,3,168,3,16 46 31 63779
480,,-57,528,7,3,171,3,16 46 31 63812
483,,-57,531,7,3,168,3,16 46 31 63894
487,,-57,535,7,3,171,3,16 46 31 64012
494,,-57,542,7,3,174,3,16 46 31 64263
496,,-57,544,7,3,171,3,16 46 31 64363
560,,-57,608,8,3,171,3,16 46 39 72146
562,,-57,610,8,3,180,3,16 46 39 72195
565,,-57,613,8,3,171,3,16 46 39 72279
569,,-57,617,8,3,168,3,16 46 39 72362
570,,-57,618,8,3,174,3,16 46 39 72395
572,,-57,620,8,3,171,3,16 46 39 72429
575,,-57,623,8,3,174,3,16 46 39 72496
577,,-57,625,8,3,174,3,16 46 39 72563
579,,-57,627,8,3,174,3,16 46 39 72596
581,,-58,629,8,3,174,3,16 46 40 72663
586,,-58,634,8,3,171,3,16 46 40 72779
588,,-56,636,8,3,174,3,16 46 40 72845
590,,-56,638,8,3,174,3,16 46 40 72878
596,,-55,644,8,3,171,3,16 46 40 72996
597,,-55,645,8,3,171,3,16 46 40 73046
600,,-55,648,8,3,171,3,16 46 40 73113
602,,-55,650,8,3,168,3,16 46 40 73162
604,,-55,652,8,3,168,3,16 46 40 73229
608,,-56,656,8,3,174,3,16 46 40 73296
615,,-56,663,8,3,174,3,16 46 40 73463
618,,-56,666,8,3,171,3,16 46 40 73529
623,,-55,671,8,3,174,3,16 46 41 73646
625,,-56,673,8,3,174,3,16 46 41 73696
630,,-55,678,8,3,171,3,16 46 41 73795
632,,-55,680,8,3,174,3,16 46 41 73829
637,,-55,685,8,3,171,3,16 46 41 73962
639,,-55,687,8,3,171,3,16 46 41 74029
641,,-55,689,8,3,171,3,16 46 41 74063
643,,-55,691,8,3,168,3,16 46 41 74113
645,,-53,693,8,3,174,3,16 46 41 74179
646,,-55,694,8,3,171,3,16 46 41 74229
648,,-52,696,8,3,168,3,16 46 41 74263
650,,-53,698,8,3,171,3,16 46 41 74312
653,,-53,701,8,3,171,3,16 46 41 74379
655,,-52,703,8,3,174,3,16 46 41 74446
657,,-53,705,8,3,168,3,16 46 41 74478
658,,-53,706,8,3,174,3,16 46 41 74545
661,,-53,709,8,3,174,3,16 46 41 74596
663,,-53,711,8,3,171,3,16 46 42 74629
665,,-53,713,8,3,174,3,16 46 42 74662
667,,-55,715,8,3,174,3,16 46 42 74712
668,,-53,716,8,3,174,3,16 46 42 74729
671,,-53,719,8,3,171,3,16 46 42 74779
672,,-53,720,8,3,174,3,16 46 42 74796
674,,-55,722,8,3,174,3,16 46 42 74829
676,,-55,724,8,3,171,3,16 46 42 74880
679,,-55,727,8,3,171,3,16 46 42 74929
681,,-55,729,8,3,174,3,16 46 42 74962
683,,-53,731,8,3,168,3,16 46 42 75013
684,,-55,732,8,3,174,3,16 46 42 75046
686,,-55,734,8,3,168,3,16 46 42 75079
688,,-55,736,8,3,174,3,16 46 42 75113
691,,-55,739,8,3,174,3,16 46 42 75163
692,,-53,740,8,3,171,3,16 46 42 75196
696,,-53,744,8,3,171,3,16 46 42 75296
698,,-52,746,8,3,174,3,16 46 42 75328
702,,-53,750,8,3,174,3,16 46 42 75429
705,,-53,753,8,3,174,3,16 46 42 75496
706,,-53,754,9,3,174,3,16 46 47 80529
708,,-53,756,9,3,171,3,16 46 47 80596
