, ,run,activity,time,id,RSSI,phase
259,,1,4,13 38 23 29983,2,-57,171
260,,1,4,13 38 23 30033,3,-53,174
261,,1,4,13 38 23 30050,2,-57,171
262,,1,4,13 38 24 30082,4,-50,171
263,,1,4,13 38 24 30100,3,-55,168
264,,1,4,13 38 24 30133,3,-55,171
265,,1,4,13 38 24 30149,4,-51,171
266,,1,4,13 38 24 30182,2,-56,171
267,,1,4,13 38 24 30217,4,-52,174
268,,1,4,13 38 24 30233,2,-55,171
269,,1,4,13 38 24 30249,3,-58,174
270,,1,4,13 38 24 30299,3,-58,171
271,,1,4,13 38 24 30316,2,-55,171
272,,1,4,13 38 24 30349,4,-51,171
273,,1,4,13 38 24 30367,3,-56,174
274,,1,4,13 38 24 30399,3,-58,174
275,,1,4,13 38 24 30433,4,-51,174
276,,1,4,13 38 24 30483,4,-50,174
277,,1,4,13 38 24 30499,3,-53,174
278,,1,4,13 38 24 30516,4,-50,171
452,,1,7,13 38 37 43600,2,-53,171
453,,1,7,13 38 37 43650,3,-53,171
454,,1,7,13 38 37 43667,4,-52,174
455,,1,7,13 38 37 43684,2,-53,174
456,,1,7,13 38 37 43716,1,-55,174
457,,1,7,13 38 37 43733,2,-52,174
458,,1,7,13 38 37 43783,4,-53,174
459,,1,7,13 38 37 43833,3,-55,168
460,,1,7,13 38 37 43851,4,-52,174
461,,1,7,13 38 37 43884,1,-56,174
462,,1,7,13 38 37 43900,4,-52,174
463,,1,7,13 38 37 43917,3,-53,171
464,,1,7,13 38 37 43933,2,-52,171
465,,1,7,13 38 37 43950,3,-52,171
466,,1,7,13 38 37 43984,2,-51,171
467,,1,7,13 38 37 44000,3,-52,171
468,,1,7,13 38 37 44051,1,-57,174
469,,1,7,13 38 37 44067,2,-52,174
470,,1,7,13 38 38 44116,4,-51,171
471,,1,7,13 38 38 44133,2,-52,174
472,,1,7,13 38 38 44150,4,-51,174
473,,1,7,13 38 38 44166,3,-52,171
474,,1,7,13 38 38 44184,4,-51,171
475,,1,7,13 38 38 44200,3,-52,171
476,,1,7,13 38 38 44217,2,-53,171
477,,1,7,13 38 38 44249,3,-52,174
478,,1,7,13 38 38 44266,4,-50,171
479,,1,7,13 38 38 44299,2,-55,174
480,,1,7,13 38 38 44317,4,-50,174
481,,1,7,13 38 38 44350,2,-55,174
482,,1,7,13 38 38 44383,4,-51,174
483,,1,7,13 38 38 44433,4,-52,174
484,,1,7,13 38 38 44449,3,-55,171
485,,1,7,13 38 38 44467,2,-52,174
486,,1,7,13 38 38 44484,3,-55,174
487,,1,7,13 38 38 44500,2,-53,171
488,,1,7,13 38 38 44517,4,-51,174
489,,1,7,13 38 38 44533,3,-55,174
490,,1,7,13 38 38 44550,4,-52,171
491,,1,7,13 38 38 44567,2,-53,174
492,,1,7,13 38 38 44600,3,-55,174
493,,1,7,13 38 38 44617,2,-53,174
494,,1,7,13 38 38 44650,2,-55,174
495,,1,7,13 38 38 44667,4,-51,174
496,,1,7,13 38 38 44700,2,-56,177
497,,1,7,13 38 38 44717,4,-51,171
498,,1,7,13 38 38 44750,2,-55,174
499,,1,7,13 38 38 44766,3,-58,168
500,,1,7,13 38 38 44783,4,-53,174
501,,1,7,13 38 38 44799,2,-55,174
502,,1,7,13 38 38 44833,3,-58,174
503,,1,7,13 38 38 44866,4,-53,171
504,,1,7,13 38 38 44884,2,-55,174
505,,1,7,13 38 38 44900,3,-59,174
506,,1,7,13 38 38 44917,4,-52,174
507,,1,7,13 38 38 44950,3,-58,174
508,,1,7,13 38 38 44967,2,-55,174
509,,1,7,13 38 38 44983,2,-55,174
510,,1,7,13 38 38 45001,4,-52,174
511,,1,7,13 38 38 45016,2,-55,171
512,,1,7,13 38 38 45032,4,-51,174
513,,1,7,13 38 38 45067,2,-55,174
514,,1,7,13 38 39 45083,4,-51,168
515,,1,7,13 38 39 45117,2,-55,171
516,,1,7,13 38 39 45134,4,-51,174
517,,1,7,13 38 39 45167,3,-55,171
518,,1,7,13 38 39 45182,4,-50,174
519,,1,7,13 38 39 45199,2,-55,174
520,,1,7,13 38 39 45234,3,-56,171
521,,1,7,13 38 39 45250,4,-49,171
522,,1,7,13 38 39 45283,2,-55,174
523,,1,7,13 38 39 45300,3,-55,171
524,,1,7,13 38 39 45366,4,-50,174
525,,1,7,13 38 39 45400,4,-51,171
526,,1,7,13 38 39 45434,4,-51,171
527,,1,7,13 38 39 45450,3,-58,171
528,,1,7,13 38 39 45466,3,-57,171
529,,1,7,13 38 39 45484,4,-51,174
530,,1,7,13 38 39 45550,1,-57,171
531,,1,7,13 38 39 45567,4,-51,174
532,,1,7,13 38 39 45600,2,-55,174
533,,1,7,13 38 39 45616,3,-58,171
534,,1,7,13 38 39 45633,1,-56,174
535,,1,7,13 38 39 45665,3,-57,168
536,,1,7,13 38 39 45684,4,-51,174
537,,1,7,13 38 39 45717,4,-51,174
538,,1,7,13 38 39 45750,2,-55,171
539,,1,7,13 38 39 45766,4,-51,174
540,,1,7,13 38 39 45800,2,-52,174
541,,1,7,13 38 39 45817,1,-56,171
542,,1,7,13 38 39 45850,1,-57,171
543,,1,7,13 38 39 45866,4,-51,174
544,,1,7,13 38 39 45901,2,-53,171
545,,1,7,13 38 39 45916,1,-57,168
546,,1,7,13 38 39 45933,2,-55,171
547,,1,7,13 38 39 45967,4,-51,174
548,,1,7,13 38 39 45984,1,-57,174
549,,1,7,13 38 39 46017,1,-57,171
550,,1,7,13 38 39 46034,4,-50,174
551,,1,7,13 38 39 46067,4,-51,174
552,,1,7,13 38 40 46083,1,-56,174
553,,1,7,13 38 40 46116,3,-57,174
554,,1,7,13 38 40 46134,2,-55,174
698,,1,10,13 38 57 63651,4,-49,171
699,,1,10,13 38 57 63684,4,-49,174
700,,1,10,13 38 57 63717,2,-55,171
701,,1,10,13 38 57 63735,4,-47,177
702,,1,10,13 38 57 63767,4,-47,174
703,,1,10,13 38 57 63784,2,-55,171
704,,1,10,13 38 57 63834,4,-47,174
705,,1,10,13 38 57 63851,1,-52,171
706,,1,10,13 38 57 63884,3,-52,171
707,,1,10,13 38 57 63901,2,-56,171
708,,1,10,13 38 57 63917,1,-52,174
709,,1,10,13 38 57 63951,3,-52,174
710,,1,10,13 38 57 63967,4,-47,171
711,,1,10,13 38 57 63984,2,-57,171
712,,1,10,13 38 57 64000,1,-52,174
713,,1,10,13 38 57 64034,4,-47,174
714,,1,10,13 38 57 64068,3,-52,168
715,,1,10,13 38 58 64117,2,-56,171
716,,1,10,13 38 58 64134,4,-47,174
717,,1,10,13 38 58 64151,2,-55,171
718,,1,10,13 38 58 64200,4,-49,171
719,,1,10,13 38 58 64216,2,-55,174
720,,1,10,13 38 58 64234,3,-52,174
721,,1,10,13 38 58 64251,4,-49,174
722,,1,10,13 38 58 64267,2,-53,171
723,,1,10,13 38 58 64284,1,-51,174
724,,1,10,13 38 58 64351,4,-49,171
725,,1,10,13 38 58 64366,1,-52,174
726,,1,10,13 38 58 64400,1,-51,171
727,,1,10,13 38 58 64417,2,-52,171
728,,1,10,13 38 58 64434,4,-49,171
729,,1,10,13 38 58 64451,1,-51,171
730,,1,10,13 38 58 64468,2,-53,171
731,,1,10,13 38 58 64501,2,-53,177
732,,1,10,13 38 58 64518,1,-51,174
733,,1,10,13 38 58 64551,1,-49,171
734,,1,10,13 38 58 64584,4,-49,174
735,,1,10,13 38 58 64601,1,-49,171
736,,1,10,13 38 58 64651,4,-50,171
737,,1,10,13 38 58 64667,1,-49,171
738,,1,10,13 38 58 64684,2,-52,174
739,,1,10,13 38 58 64717,2,-52,174
740,,1,10,13 38 58 64734,1,-49,174
741,,1,10,13 38 58 64767,2,-52,171
742,,1,10,13 38 58 64784,4,-50,171
743,,1,10,13 38 58 64817,1,-49,174
744,,1,10,13 38 58 64834,2,-52,174
745,,1,10,13 38 58 64868,1,-49,171
746,,1,10,13 38 58 64884,2,-53,174
747,,1,10,13 38 58 64900,1,-49,171
748,,1,10,13 38 58 64917,4,-49,171
749,,1,10,13 38 58 64951,4,-49,168
750,,1,10,13 38 58 64968,2,-53,177
751,,1,10,13 38 58 65001,2,-53,171
752,,1,10,13 38 58 65050,4,-49,171
753,,1,10,13 38 59 65084,3,-57,171
754,,1,10,13 38 59 65100,1,-47,174
755,,1,10,13 38 59 65168,1,-47,174
756,,1,10,13 38 59 65183,4,-49,171
757,,1,10,13 38 59 65217,1,-47,171
758,,1,10,13 38 59 65251,3,-55,168
759,,1,10,13 38 59 65284,2,-52,174
760,,1,10,13 38 59 65335,2,-52,174
761,,1,10,13 38 59 65351,1,-49,171
762,,1,10,13 38 59 65418,1,-49,174
763,,1,10,13 38 59 65434,2,-52,174
764,,1,10,13 38 59 65451,2,-52,171
765,,1,10,13 38 59 65467,1,-47,174
766,,1,10,13 38 59 65501,2,-52,171
767,,1,10,13 38 59 65534,4,-49,174
768,,1,10,13 38 59 65551,1,-47,174
769,,1,10,13 38 59 65585,1,-47,174
770,,1,10,13 38 59 65601,2,-53,174
771,,1,10,13 38 59 65634,2,-53,174
772,,1,10,13 38 59 65667,4,-49,168
773,,1,10,13 38 59 65784,1,-47,174
774,,1,10,13 38 59 65800,4,-47,174
775,,1,10,13 38 59 65851,1,-47,174
776,,1,10,13 38 59 65867,3,-51,174
777,,1,10,13 38 59 65918,4,-47,171
778,,1,10,13 38 59 65934,1,-47,171
779,,1,10,13 38 59 65951,3,-51,171
780,,1,10,13 38 59 65967,2,-57,174
781,,1,10,13 38 59 65983,4,-47,171
782,,1,10,13 38 59 66018,2,-57,171
783,,1,10,13 38 59 66050,1,-47,174
925,,2,2,13 39 38 22578,2,-51,171
926,,2,2,13 39 38 22594,4,-50,174
927,,2,2,13 39 39 22627,2,-52,174
928,,2,2,13 39 39 22645,4,-50,174
929,,2,2,13 39 39 22660,4,-50,174
930,,2,2,13 39 39 22678,2,-51,174
931,,2,2,13 39 39 22711,2,-51,174
932,,2,2,13 39 39 22728,3,-56,171
933,,2,2,13 39 39 22762,4,-49,171
934,,2,2,13 39 39 22778,3,-57,0
935,,2,2,13 39 39 22811,3,-57,174
936,,2,2,13 39 39 22827,2,-51,174
937,,2,2,13 39 39 22844,2,-52,171
938,,2,2,13 39 39 22894,4,-49,174
939,,2,2,13 39 39 22927,3,-55,171
940,,2,2,13 39 39 22945,2,-51,171
941,,2,2,13 39 39 22979,4,-47,171
942,,2,2,13 39 39 22995,3,-55,174
943,,2,2,13 39 39 23044,2,-51,174
944,,2,2,13 39 39 23078,4,-47,174
945,,2,2,13 39 39 23111,4,-46,174
946,,2,2,13 39 39 23128,3,-51,171
947,,2,2,13 39 39 23144,4,-46,174
948,,2,2,13 39 39 23161,2,-52,171
949,,2,2,13 39 39 23194,4,-46,174
950,,2,2,13 39 39 23212,3,-51,171
951,,2,2,13 39 39 23227,3,-51,171
952,,2,2,13 39 39 23244,4,-46,174
953,,2,2,13 39 39 23260,2,-52,171
954,,2,2,13 39 39 23278,4,-47,174
955,,2,2,13 39 39 23295,3,-50,168
956,,2,2,13 39 39 23311,2,-53,171
957,,2,2,13 39 39 23344,4,-47,174
958,,2,2,13 39 39 23361,3,-51,171
959,,2,2,13 39 39 23428,3,-51,174
960,,2,2,13 39 39 23444,4,-49,174
961,,2,2,13 39 39 23478,3,-52,174
